# BEGIN PLOT
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/set_calo //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_MET/set_calo //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_MET/set_calo //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_MET/set_calo
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/set_calo //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_MET/set_calo //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_MET/set_calo //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_MET/set_calo
Title=Scalar $\sum E_T$ in calo acceptance
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/set_calo
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
XLabel=Scalar $\sum E_T$ [GeV]
YLabel=$1/\sigma \, \mathrm{d}\sigma / \mathrm{d}\sum E_T$ [GeV$^{-1}$]
Legend=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/set_calo
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_MET/set_calo
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.391130e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.391130e+00	1.935242e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.935242e+00	2.692173e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.692173e+00	3.745162e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.745162e+00	5.210007e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.210007e+00	7.247797e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.247797e+00	1.008263e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.008263e+01	1.402624e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.402624e+01	1.951232e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.951232e+01	2.714418e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.714418e+01	3.776107e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.776107e+01	5.253056e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.253056e+01	7.307682e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.307682e+01	1.016594e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.016594e+02	1.414214e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.414214e+02	1.967355e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.967355e+02	2.736846e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.736846e+02	3.807308e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.807308e+02	5.296460e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.296460e+02	7.368063e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.368063e+02	1.024993e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.024993e+03	1.425899e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.425899e+03	1.983610e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.983610e+03	2.759459e+03	0.000000e+00	0.000000e+00	0.000000e+00
