# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/Etmiss //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/Etmiss //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/Etmiss //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/Etmiss
XLabel=$E_\perp^\text{miss}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/Etmiss
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}E_\perp^\text{miss}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/Etmiss //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/Etmiss //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/Etmiss //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/Etmiss
RatioPlot=1
Title=$E_\perp^\text{miss}$ distribution
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/Etmiss
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/Etmiss
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	5.333333e-01	1.885618e-01	1.885618e-01
1.500000e+01	3.000000e+01	1.000000e+00	2.581989e-01	2.581989e-01
3.000000e+01	4.500000e+01	1.333333e+00	2.981424e-01	2.981424e-01
4.500000e+01	6.000000e+01	2.333333e+00	3.944053e-01	3.944053e-01
6.000000e+01	7.500000e+01	3.200000e+00	4.618802e-01	4.618802e-01
7.500000e+01	9.000000e+01	3.800000e+00	5.033223e-01	5.033223e-01
9.000000e+01	1.050000e+02	4.866667e+00	5.696002e-01	5.696002e-01
1.050000e+02	1.200000e+02	5.066667e+00	5.811865e-01	5.811865e-01
1.200000e+02	1.350000e+02	5.066667e+00	5.811865e-01	5.811865e-01
1.350000e+02	1.500000e+02	6.066667e+00	6.359595e-01	6.359595e-01
1.500000e+02	1.650000e+02	6.866667e+00	6.765928e-01	6.765928e-01
1.650000e+02	1.800000e+02	7.266667e+00	6.960204e-01	6.960204e-01
1.800000e+02	1.950000e+02	9.000000e+00	7.745967e-01	7.745967e-01
1.950000e+02	2.100000e+02	7.333333e+00	6.992059e-01	6.992059e-01
2.100000e+02	2.250000e+02	8.600000e+00	7.571878e-01	7.571878e-01
2.250000e+02	2.400000e+02	8.466667e+00	7.512952e-01	7.512952e-01
2.400000e+02	2.550000e+02	1.060000e+01	8.406347e-01	8.406347e-01
2.550000e+02	2.700000e+02	1.106667e+01	8.589399e-01	8.589399e-01
2.700000e+02	2.850000e+02	1.086667e+01	8.511430e-01	8.511430e-01
2.850000e+02	3.000000e+02	1.253333e+01	9.140873e-01	9.140873e-01
3.000000e+02	3.150000e+02	1.160000e+01	8.793937e-01	8.793937e-01
3.150000e+02	3.300000e+02	1.240000e+01	9.092121e-01	9.092121e-01
3.300000e+02	3.450000e+02	1.293333e+01	9.285592e-01	9.285592e-01
3.450000e+02	3.600000e+02	1.406667e+01	9.683893e-01	9.683893e-01
