# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-e
XLabel=$\eta$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-e
YLabel=$\mathrm{d}N_e/\mathrm{d}\eta$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-e
RatioPlot=1
Title=$\eta$ distribution for $e^+$, $e^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-e
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-e
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.840000e+00	3.125000e+01	1.397542e+01	1.397542e+01
-3.840000e+00	-3.680000e+00	1.875000e+01	1.082532e+01	1.082532e+01
-3.680000e+00	-3.520000e+00	5.625000e+01	1.875000e+01	1.875000e+01
-3.520000e+00	-3.360000e+00	1.062500e+02	2.576941e+01	2.576941e+01
-3.360000e+00	-3.200000e+00	1.937500e+02	3.479853e+01	3.479853e+01
-3.200000e+00	-3.040000e+00	2.000000e+02	3.535534e+01	3.535534e+01
-3.040000e+00	-2.880000e+00	3.250000e+02	4.506939e+01	4.506939e+01
-2.880000e+00	-2.720000e+00	6.375000e+02	6.312191e+01	6.312191e+01
-2.720000e+00	-2.560000e+00	8.562500e+02	7.315437e+01	7.315437e+01
-2.560000e+00	-2.400000e+00	1.087500e+03	8.244316e+01	8.244316e+01
-2.400000e+00	-2.240000e+00	1.675000e+03	1.023169e+02	1.023169e+02
-2.240000e+00	-2.080000e+00	2.462500e+03	1.240590e+02	1.240590e+02
-2.080000e+00	-1.920000e+00	3.275000e+03	1.430690e+02	1.430690e+02
-1.920000e+00	-1.760000e+00	4.556250e+03	1.687500e+02	1.687500e+02
-1.760000e+00	-1.600000e+00	6.731250e+03	2.051105e+02	2.051105e+02
-1.600000e+00	-1.440000e+00	8.743750e+03	2.337701e+02	2.337701e+02
-1.440000e+00	-1.280000e+00	1.196875e+04	2.735045e+02	2.735045e+02
-1.280000e+00	-1.120000e+00	1.613750e+04	3.175837e+02	3.175837e+02
-1.120000e+00	-9.600000e-01	2.127500e+04	3.646488e+02	3.646488e+02
-9.600000e-01	-8.000000e-01	2.753750e+04	4.148607e+02	4.148607e+02
-8.000000e-01	-6.400000e-01	3.507500e+04	4.682080e+02	4.682080e+02
-6.400000e-01	-4.800000e-01	4.221250e+04	5.136420e+02	5.136420e+02
