# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-gamma-iso
XLabel=$\eta$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma-iso
YLabel=$\mathrm{d}N_{\gamma\text{iso}}/\mathrm{d}\eta$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-gamma-iso
RatioPlot=1
Title=$\eta$ distribution for $\Delta{R}=0.2$ jet-isolated photons
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma-iso
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma-iso
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.840000e+00	6.250000e+00	6.250000e+00	6.250000e+00
-3.840000e+00	-3.680000e+00	1.875000e+01	1.082532e+01	1.082532e+01
-3.680000e+00	-3.520000e+00	2.500000e+01	1.250000e+01	1.250000e+01
-3.520000e+00	-3.360000e+00	1.875000e+01	1.082532e+01	1.082532e+01
-3.360000e+00	-3.200000e+00	2.500000e+01	1.250000e+01	1.250000e+01
-3.200000e+00	-3.040000e+00	5.000000e+01	1.767767e+01	1.767767e+01
-3.040000e+00	-2.880000e+00	7.500000e+01	2.165064e+01	2.165064e+01
-2.880000e+00	-2.720000e+00	1.750000e+02	3.307189e+01	3.307189e+01
-2.720000e+00	-2.560000e+00	3.937500e+02	4.960784e+01	4.960784e+01
-2.560000e+00	-2.400000e+00	6.250000e+02	6.250000e+01	6.250000e+01
-2.400000e+00	-2.240000e+00	1.437500e+03	9.478594e+01	9.478594e+01
-2.240000e+00	-2.080000e+00	2.018750e+03	1.123263e+02	1.123263e+02
-2.080000e+00	-1.920000e+00	4.575000e+03	1.690969e+02	1.690969e+02
-1.920000e+00	-1.760000e+00	8.887500e+03	2.356838e+02	2.356838e+02
-1.760000e+00	-1.600000e+00	1.491875e+04	3.053558e+02	3.053558e+02
-1.600000e+00	-1.440000e+00	2.518125e+04	3.967150e+02	3.967150e+02
-1.440000e+00	-1.280000e+00	4.285625e+04	5.175438e+02	5.175438e+02
-1.280000e+00	-1.120000e+00	7.013125e+04	6.620576e+02	6.620576e+02
-1.120000e+00	-9.600000e-01	1.096312e+05	8.277653e+02	8.277653e+02
-9.600000e-01	-8.000000e-01	1.620688e+05	1.006444e+03	1.006444e+03
-8.000000e-01	-6.400000e-01	2.307125e+05	1.200814e+03	1.200814e+03
-6.400000e-01	-4.800000e-01	3.056750e+05	1.382197e+03	1.382197e+03
-4.800000e-01	-3.200000e-01	3.836438e+05	1.548475e+03	1.548475e+03
-3.200000e-01	-1.600000e-01	4.399438e+05	1.658206e+03	1.658206e+03
-1.600000e-01	0.000000e+00	4.709375e+05	1.715622e+03	1.715622e+03
0.000000e+00	1.600000e-01	4.793875e+05	1.730945e+03	1.730945e+03
1.600000e-01	3.200000e-01	4.429438e+05	1.663850e+03	1.663850e+03
3.200000e-01	4.800000e-01	3.828938e+05	1.546960e+03	1.546960e+03
4.800000e-01	6.400000e-01	3.105562e+05	1.393189e+03	1.393189e+03
6.400000e-01	8.000000e-01	2.380812e+05	1.219839e+03	1.219839e+03
8.000000e-01	9.600000e-01	1.647000e+05	1.014581e+03	1.014581e+03
9.600000e-01	1.120000e+00	1.099750e+05	8.290620e+02	8.290620e+02
1.120000e+00	1.280000e+00	7.106875e+04	6.664681e+02	6.664681e+02
