# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-gamma
XLabel=$\eta$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma
YLabel=$\mathrm{d}N_\gamma/\mathrm{d}\eta$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-gamma
RatioPlot=1
Title=$\eta$ distribution for photons
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-gamma
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.840000e+00	2.312500e+02	3.801727e+01	3.801727e+01
-3.840000e+00	-3.680000e+00	3.250000e+02	4.506939e+01	4.506939e+01
-3.680000e+00	-3.520000e+00	4.437500e+02	5.266344e+01	5.266344e+01
-3.520000e+00	-3.360000e+00	8.437500e+02	7.261844e+01	7.261844e+01
-3.360000e+00	-3.200000e+00	1.031250e+03	8.028270e+01	8.028270e+01
-3.200000e+00	-3.040000e+00	1.212500e+03	8.705243e+01	8.705243e+01
-3.040000e+00	-2.880000e+00	1.537500e+03	9.802742e+01	9.802742e+01
-2.880000e+00	-2.720000e+00	2.387500e+03	1.221551e+02	1.221551e+02
-2.720000e+00	-2.560000e+00	3.812500e+03	1.543636e+02	1.543636e+02
-2.560000e+00	-2.400000e+00	5.306250e+03	1.821100e+02	1.821100e+02
-2.400000e+00	-2.240000e+00	8.056250e+03	2.243915e+02	2.243915e+02
-2.240000e+00	-2.080000e+00	1.228125e+04	2.770520e+02	2.770520e+02
-2.080000e+00	-1.920000e+00	2.000000e+04	3.535534e+02	3.535534e+02
-1.920000e+00	-1.760000e+00	3.146250e+04	4.434418e+02	4.434418e+02
-1.760000e+00	-1.600000e+00	4.737500e+04	5.441450e+02	5.441450e+02
-1.600000e+00	-1.440000e+00	7.035625e+04	6.631188e+02	6.631188e+02
-1.440000e+00	-1.280000e+00	1.093938e+05	8.268682e+02	8.268682e+02
-1.280000e+00	-1.120000e+00	1.597813e+05	9.993162e+02	9.993162e+02
-1.120000e+00	-9.600000e-01	2.319187e+05	1.203949e+03	1.203949e+03
-9.600000e-01	-8.000000e-01	3.224688e+05	1.419658e+03	1.419658e+03
-8.000000e-01	-6.400000e-01	4.326375e+05	1.644380e+03	1.644380e+03
-6.400000e-01	-4.800000e-01	5.453500e+05	1.846195e+03	1.846195e+03
-4.800000e-01	-3.200000e-01	6.624563e+05	2.034785e+03	2.034785e+03
-3.200000e-01	-1.600000e-01	7.464000e+05	2.159861e+03	2.159861e+03
-1.600000e-01	0.000000e+00	7.975250e+05	2.232606e+03	2.232606e+03
0.000000e+00	1.600000e-01	8.044062e+05	2.242217e+03	2.242217e+03
1.600000e-01	3.200000e-01	7.501312e+05	2.165253e+03	2.165253e+03
3.200000e-01	4.800000e-01	6.638125e+05	2.036867e+03	2.036867e+03
4.800000e-01	6.400000e-01	5.483375e+05	1.851245e+03	1.851245e+03
6.400000e-01	8.000000e-01	4.376687e+05	1.653913e+03	1.653913e+03
8.000000e-01	9.600000e-01	3.251813e+05	1.425617e+03	1.425617e+03
9.600000e-01	1.120000e+00	2.334625e+05	1.207949e+03	1.207949e+03
1.120000e+00	1.280000e+00	1.631500e+05	1.009796e+03	1.009796e+03
1.280000e+00	1.440000e+00	1.119625e+05	8.365199e+02	8.365199e+02
1.440000e+00	1.600000e+00	7.282500e+04	6.746527e+02	6.746527e+02
1.600000e+00	1.760000e+00	4.708750e+04	5.424914e+02	5.424914e+02
1.760000e+00	1.920000e+00	3.111250e+04	4.409684e+02	4.409684e+02
1.920000e+00	2.080000e+00	1.920000e+04	3.464102e+02	3.464102e+02
2.080000e+00	2.240000e+00	1.251875e+04	2.797181e+02	2.797181e+02
2.240000e+00	2.400000e+00	7.875000e+03	2.218530e+02	2.218530e+02
2.400000e+00	2.560000e+00	5.637500e+03	1.877082e+02	1.877082e+02
2.560000e+00	2.720000e+00	3.287500e+03	1.433418e+02	1.433418e+02
2.720000e+00	2.880000e+00	2.493750e+03	1.248437e+02	1.248437e+02
2.880000e+00	3.040000e+00	1.681250e+03	1.025076e+02	1.025076e+02
3.040000e+00	3.200000e+00	1.168750e+03	8.546746e+01	8.546746e+01
3.200000e+00	3.360000e+00	9.125000e+02	7.551904e+01	7.551904e+01
3.360000e+00	3.520000e+00	7.937500e+02	7.043392e+01	7.043392e+01
3.520000e+00	3.680000e+00	4.937500e+02	5.555122e+01	5.555122e+01
3.680000e+00	3.840000e+00	3.500000e+02	4.677072e+01	4.677072e+01
3.840000e+00	4.000000e+00	2.625000e+02	4.050463e+01	4.050463e+01
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-gamma
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-gamma
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.840000e+00	2.250000e+02	3.750000e+01	3.750000e+01
-3.840000e+00	-3.680000e+00	3.062500e+02	4.375000e+01	4.375000e+01
-3.680000e+00	-3.520000e+00	4.312500e+02	5.191640e+01	5.191640e+01
-3.520000e+00	-3.360000e+00	5.687500e+02	5.962120e+01	5.962120e+01
-3.360000e+00	-3.200000e+00	7.875000e+02	7.015608e+01	7.015608e+01
-3.200000e+00	-3.040000e+00	9.812500e+02	7.831228e+01	7.831228e+01
-3.040000e+00	-2.880000e+00	1.637500e+03	1.011651e+02	1.011651e+02
-2.880000e+00	-2.720000e+00	2.337500e+03	1.208692e+02	1.208692e+02
-2.720000e+00	-2.560000e+00	3.443750e+03	1.467087e+02	1.467087e+02
-2.560000e+00	-2.400000e+00	5.562500e+03	1.864554e+02	1.864554e+02
-2.400000e+00	-2.240000e+00	7.768750e+03	2.203513e+02	2.203513e+02
-2.240000e+00	-2.080000e+00	1.285000e+04	2.833946e+02	2.833946e+02
-2.080000e+00	-1.920000e+00	1.936875e+04	3.479291e+02	3.479291e+02
-1.920000e+00	-1.760000e+00	2.938750e+04	4.285696e+02	4.285696e+02
-1.760000e+00	-1.600000e+00	4.717500e+04	5.429952e+02	5.429952e+02
-1.600000e+00	-1.440000e+00	7.333750e+04	6.770224e+02	6.770224e+02
-1.440000e+00	-1.280000e+00	1.091938e+05	8.261119e+02	8.261119e+02
-1.280000e+00	-1.120000e+00	1.618750e+05	1.005842e+03	1.005842e+03
-1.120000e+00	-9.600000e-01	2.331750e+05	1.207205e+03	1.207205e+03
-9.600000e-01	-8.000000e-01	3.216250e+05	1.417800e+03	1.417800e+03
-8.000000e-01	-6.400000e-01	4.300500e+05	1.639455e+03	1.639455e+03
-6.400000e-01	-4.800000e-01	5.443062e+05	1.844428e+03	1.844428e+03
-4.800000e-01	-3.200000e-01	6.551875e+05	2.023591e+03	2.023591e+03
-3.200000e-01	-1.600000e-01	7.435375e+05	2.155716e+03	2.155716e+03
-1.600000e-01	0.000000e+00	7.950625e+05	2.229157e+03	2.229157e+03
0.000000e+00	1.600000e-01	7.843375e+05	2.214071e+03	2.214071e+03
1.600000e-01	3.200000e-01	7.399062e+05	2.150445e+03	2.150445e+03
3.200000e-01	4.800000e-01	6.594688e+05	2.030192e+03	2.030192e+03
4.800000e-01	6.400000e-01	5.426562e+05	1.841630e+03	1.841630e+03
6.400000e-01	8.000000e-01	4.317062e+05	1.642609e+03	1.642609e+03
8.000000e-01	9.600000e-01	3.183438e+05	1.410549e+03	1.410549e+03
9.600000e-01	1.120000e+00	2.302375e+05	1.199577e+03	1.199577e+03
1.120000e+00	1.280000e+00	1.625000e+05	1.007782e+03	1.007782e+03
1.280000e+00	1.440000e+00	1.082250e+05	8.224392e+02	8.224392e+02
1.440000e+00	1.600000e+00	7.158125e+04	6.688668e+02	6.688668e+02
