# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-jet
XLabel=$\eta$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-jet
YLabel=$\mathrm{d}N_\text{jet}/\mathrm{d}\eta$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-jet
RatioPlot=1
Title=$\eta$ distribution for $R=0.7$ anti-$k_\perp$ jets
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-jet
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-jet
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.840000e+00	7.750000e+02	6.959705e+01	6.959705e+01
-3.840000e+00	-3.680000e+00	1.112500e+03	8.338540e+01	8.338540e+01
-3.680000e+00	-3.520000e+00	1.412500e+03	9.395810e+01	9.395810e+01
-3.520000e+00	-3.360000e+00	1.868750e+03	1.080726e+02	1.080726e+02
-3.360000e+00	-3.200000e+00	2.637500e+03	1.283915e+02	1.283915e+02
-3.200000e+00	-3.040000e+00	3.300000e+03	1.436141e+02	1.436141e+02
-3.040000e+00	-2.880000e+00	4.043750e+03	1.589762e+02	1.589762e+02
-2.880000e+00	-2.720000e+00	5.912500e+03	1.922320e+02	1.922320e+02
-2.720000e+00	-2.560000e+00	7.937500e+03	2.227316e+02	2.227316e+02
-2.560000e+00	-2.400000e+00	1.073125e+04	2.589794e+02	2.589794e+02
-2.400000e+00	-2.240000e+00	1.436250e+04	2.996091e+02	2.996091e+02
-2.240000e+00	-2.080000e+00	2.023125e+04	3.555915e+02	3.555915e+02
-2.080000e+00	-1.920000e+00	2.569375e+04	4.007318e+02	4.007318e+02
-1.920000e+00	-1.760000e+00	3.350000e+04	4.575751e+02	4.575751e+02
-1.760000e+00	-1.600000e+00	4.333750e+04	5.204415e+02	5.204415e+02
-1.600000e+00	-1.440000e+00	5.295000e+04	5.752717e+02	5.752717e+02
-1.440000e+00	-1.280000e+00	6.351250e+04	6.300422e+02	6.300422e+02
-1.280000e+00	-1.120000e+00	7.425625e+04	6.812500e+02	6.812500e+02
-1.120000e+00	-9.600000e-01	8.551250e+04	7.310630e+02	7.310630e+02
-9.600000e-01	-8.000000e-01	9.445625e+04	7.683434e+02	7.683434e+02
-8.000000e-01	-6.400000e-01	1.025437e+05	8.005613e+02	8.005613e+02
-6.400000e-01	-4.800000e-01	1.079250e+05	8.212985e+02	8.212985e+02
-4.800000e-01	-3.200000e-01	1.108500e+05	8.323536e+02	8.323536e+02
-3.200000e-01	-1.600000e-01	1.160875e+05	8.517904e+02	8.517904e+02
-1.600000e-01	0.000000e+00	1.154438e+05	8.494254e+02	8.494254e+02
0.000000e+00	1.600000e-01	1.175625e+05	8.571847e+02	8.571847e+02
1.600000e-01	3.200000e-01	1.149562e+05	8.476300e+02	8.476300e+02
3.200000e-01	4.800000e-01	1.114563e+05	8.346266e+02	8.346266e+02
4.800000e-01	6.400000e-01	1.084250e+05	8.231988e+02	8.231988e+02
6.400000e-01	8.000000e-01	1.012687e+05	7.955688e+02	7.955688e+02
8.000000e-01	9.600000e-01	9.509375e+04	7.709319e+02	7.709319e+02
9.600000e-01	1.120000e+00	8.565000e+04	7.316505e+02	7.316505e+02
1.120000e+00	1.280000e+00	7.514375e+04	6.853090e+02	6.853090e+02
1.280000e+00	1.440000e+00	6.431875e+04	6.340285e+02	6.340285e+02
1.440000e+00	1.600000e+00	5.303125e+04	5.757129e+02	5.757129e+02
1.600000e+00	1.760000e+00	4.226875e+04	5.139841e+02	5.139841e+02
1.760000e+00	1.920000e+00	3.334375e+04	4.565068e+02	4.565068e+02
1.920000e+00	2.080000e+00	2.582500e+04	4.017540e+02	4.017540e+02
2.080000e+00	2.240000e+00	1.920625e+04	3.464665e+02	3.464665e+02
2.240000e+00	2.400000e+00	1.458125e+04	3.018821e+02	3.018821e+02
2.400000e+00	2.560000e+00	1.096250e+04	2.617549e+02	2.617549e+02
2.560000e+00	2.720000e+00	7.956250e+03	2.229945e+02	2.229945e+02
2.720000e+00	2.880000e+00	5.831250e+03	1.909066e+02	1.909066e+02
2.880000e+00	3.040000e+00	4.375000e+03	1.653595e+02	1.653595e+02
3.040000e+00	3.200000e+00	3.106250e+03	1.393344e+02	1.393344e+02
3.200000e+00	3.360000e+00	2.381250e+03	1.219951e+02	1.219951e+02
3.360000e+00	3.520000e+00	1.768750e+03	1.051413e+02	1.051413e+02
3.520000e+00	3.680000e+00	1.343750e+03	9.164299e+01	9.164299e+01
3.680000e+00	3.840000e+00	1.093750e+03	8.267973e+01	8.267973e+01
3.840000e+00	4.000000e+00	7.875000e+02	7.015608e+01	7.015608e+01
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-jet
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-jet
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.840000e+00	8.187500e+02	7.153452e+01	7.153452e+01
-3.840000e+00	-3.680000e+00	1.025000e+03	8.003905e+01	8.003905e+01
-3.680000e+00	-3.520000e+00	1.325000e+03	9.100137e+01	9.100137e+01
-3.520000e+00	-3.360000e+00	1.837500e+03	1.071652e+02	1.071652e+02
-3.360000e+00	-3.200000e+00	2.318750e+03	1.203835e+02	1.203835e+02
-3.200000e+00	-3.040000e+00	3.012500e+03	1.372156e+02	1.372156e+02
-3.040000e+00	-2.880000e+00	3.956250e+03	1.572468e+02	1.572468e+02
-2.880000e+00	-2.720000e+00	5.575000e+03	1.866648e+02	1.866648e+02
-2.720000e+00	-2.560000e+00	8.362500e+03	2.286168e+02	2.286168e+02
-2.560000e+00	-2.400000e+00	1.092500e+04	2.613068e+02	2.613068e+02
-2.400000e+00	-2.240000e+00	1.421875e+04	2.981060e+02	2.981060e+02
-2.240000e+00	-2.080000e+00	1.942500e+04	3.484340e+02	3.484340e+02
-2.080000e+00	-1.920000e+00	2.590000e+04	4.023369e+02	4.023369e+02
-1.920000e+00	-1.760000e+00	3.316250e+04	4.552643e+02	4.552643e+02
-1.760000e+00	-1.600000e+00	4.252500e+04	5.155398e+02	5.155398e+02
-1.600000e+00	-1.440000e+00	5.286875e+04	5.748301e+02	5.748301e+02
-1.440000e+00	-1.280000e+00	6.399375e+04	6.324246e+02	6.324246e+02
-1.280000e+00	-1.120000e+00	7.627500e+04	6.904482e+02	6.904482e+02
-1.120000e+00	-9.600000e-01	8.491250e+04	7.284937e+02	7.284937e+02
-9.600000e-01	-8.000000e-01	9.415625e+04	7.671223e+02	7.671223e+02
-8.000000e-01	-6.400000e-01	1.025625e+05	8.006345e+02	8.006345e+02
