# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-mu
XLabel=$\eta$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-mu
YLabel=$\mathrm{d}N_\mu/\mathrm{d}\eta$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-mu
RatioPlot=1
Title=$\eta$ distribution for $\mu^+$, $\mu^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-mu
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-mu
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.840000e+00	3.125000e+01	1.397542e+01	1.397542e+01
-3.840000e+00	-3.680000e+00	5.625000e+01	1.875000e+01	1.875000e+01
-3.680000e+00	-3.520000e+00	8.125000e+01	2.253470e+01	2.253470e+01
-3.520000e+00	-3.360000e+00	1.062500e+02	2.576941e+01	2.576941e+01
-3.360000e+00	-3.200000e+00	1.437500e+02	2.997395e+01	2.997395e+01
-3.200000e+00	-3.040000e+00	3.375000e+02	4.592793e+01	4.592793e+01
-3.040000e+00	-2.880000e+00	3.187500e+02	4.463393e+01	4.463393e+01
-2.880000e+00	-2.720000e+00	5.437500e+02	5.829612e+01	5.829612e+01
-2.720000e+00	-2.560000e+00	7.562500e+02	6.875000e+01	6.875000e+01
-2.560000e+00	-2.400000e+00	9.937500e+02	7.880950e+01	7.880950e+01
-2.400000e+00	-2.240000e+00	1.537500e+03	9.802742e+01	9.802742e+01
-2.240000e+00	-2.080000e+00	2.212500e+03	1.175930e+02	1.175930e+02
-2.080000e+00	-1.920000e+00	3.175000e+03	1.408678e+02	1.408678e+02
-1.920000e+00	-1.760000e+00	4.331250e+03	1.645306e+02	1.645306e+02
-1.760000e+00	-1.600000e+00	6.500000e+03	2.015564e+02	2.015564e+02
-1.600000e+00	-1.440000e+00	8.506250e+03	2.305733e+02	2.305733e+02
-1.440000e+00	-1.280000e+00	1.160625e+04	2.693308e+02	2.693308e+02
-1.280000e+00	-1.120000e+00	1.517500e+04	3.079671e+02	3.079671e+02
-1.120000e+00	-9.600000e-01	2.050625e+04	3.580001e+02	3.580001e+02
-9.600000e-01	-8.000000e-01	2.545000e+04	3.988264e+02	3.988264e+02
-8.000000e-01	-6.400000e-01	3.144375e+04	4.433096e+02	4.433096e+02
-6.400000e-01	-4.800000e-01	3.803125e+04	4.875401e+02	4.875401e+02
-4.800000e-01	-3.200000e-01	4.246875e+04	5.151987e+02	5.151987e+02
-3.200000e-01	-1.600000e-01	4.658125e+04	5.395672e+02	5.395672e+02
-1.600000e-01	0.000000e+00	4.991250e+04	5.585276e+02	5.585276e+02
0.000000e+00	1.600000e-01	4.954375e+04	5.564606e+02	5.564606e+02
1.600000e-01	3.200000e-01	4.694375e+04	5.416627e+02	5.416627e+02
3.200000e-01	4.800000e-01	4.351875e+04	5.215287e+02	5.215287e+02
4.800000e-01	6.400000e-01	3.900625e+04	4.937500e+02	4.937500e+02
6.400000e-01	8.000000e-01	3.163125e+04	4.446294e+02	4.446294e+02
8.000000e-01	9.600000e-01	2.601875e+04	4.032582e+02	4.032582e+02
9.600000e-01	1.120000e+00	2.034375e+04	3.565788e+02	3.565788e+02
1.120000e+00	1.280000e+00	1.505625e+04	3.067598e+02	3.067598e+02
1.280000e+00	1.440000e+00	1.146250e+04	2.676577e+02	2.676577e+02
1.440000e+00	1.600000e+00	8.637500e+03	2.323454e+02	2.323454e+02
1.600000e+00	1.760000e+00	6.125000e+03	1.956559e+02	1.956559e+02
1.760000e+00	1.920000e+00	4.175000e+03	1.615356e+02	1.615356e+02
1.920000e+00	2.080000e+00	3.200000e+03	1.414214e+02	1.414214e+02
2.080000e+00	2.240000e+00	2.250000e+03	1.185854e+02	1.185854e+02
2.240000e+00	2.400000e+00	1.400000e+03	9.354143e+01	9.354143e+01
2.400000e+00	2.560000e+00	1.025000e+03	8.003905e+01	8.003905e+01
2.560000e+00	2.720000e+00	7.750000e+02	6.959705e+01	6.959705e+01
