# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-trk
XLabel=$\eta$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-trk
YLabel=$\mathrm{d}N_\text{ch}/\mathrm{d}\eta$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/eta-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/eta-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/eta-trk
RatioPlot=1
Title=$\eta$ distribution for charged tracks
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-trk
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/eta-trk
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.840000e+00	7.437500e+02	6.817945e+01	6.817945e+01
-3.840000e+00	-3.680000e+00	1.137500e+03	8.431711e+01	8.431711e+01
-3.680000e+00	-3.520000e+00	1.600000e+03	1.000000e+02	1.000000e+02
-3.520000e+00	-3.360000e+00	2.181250e+03	1.167596e+02	1.167596e+02
-3.360000e+00	-3.200000e+00	3.468750e+03	1.472402e+02	1.472402e+02
-3.200000e+00	-3.040000e+00	4.350000e+03	1.648863e+02	1.648863e+02
-3.040000e+00	-2.880000e+00	5.450000e+03	1.845603e+02	1.845603e+02
-2.880000e+00	-2.720000e+00	7.706250e+03	2.194631e+02	2.194631e+02
-2.720000e+00	-2.560000e+00	1.130625e+04	2.658271e+02	2.658271e+02
-2.560000e+00	-2.400000e+00	1.712500e+04	3.271563e+02	3.271563e+02
-2.400000e+00	-2.240000e+00	2.441250e+04	3.906125e+02	3.906125e+02
-2.240000e+00	-2.080000e+00	3.776250e+04	4.858144e+02	4.858144e+02
-2.080000e+00	-1.920000e+00	5.843750e+04	6.043462e+02	6.043462e+02
-1.920000e+00	-1.760000e+00	8.681875e+04	7.366255e+02	7.366255e+02
-1.760000e+00	-1.600000e+00	1.324500e+05	9.098420e+02	9.098420e+02
-1.600000e+00	-1.440000e+00	1.930437e+05	1.098419e+03	1.098419e+03
-1.440000e+00	-1.280000e+00	2.815250e+05	1.326473e+03	1.326473e+03
-1.280000e+00	-1.120000e+00	4.052750e+05	1.591530e+03	1.591530e+03
-1.120000e+00	-9.600000e-01	5.645000e+05	1.878330e+03	1.878330e+03
-9.600000e-01	-8.000000e-01	7.696750e+05	2.193278e+03	2.193278e+03
-8.000000e-01	-6.400000e-01	1.015919e+06	2.519820e+03	2.519820e+03
-6.400000e-01	-4.800000e-01	1.258500e+06	2.804572e+03	2.804572e+03
