# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-2-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-2-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-2-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-2-osof-emu
XLabel=$m_{e\mu}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-2-osof-emu
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}m_{e\mu}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-2-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-2-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-2-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-2-osof-emu
RatioPlot=1
Title=$m_{e\mu}$ distribution for clean $e^\pm \mu^\mp$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-2-osof-emu
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-2-osof-emu
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.000000e-01	3.000000e-01	3.000000e-01
1.000000e+01	2.000000e+01	1.400000e+00	3.741657e-01	3.741657e-01
2.000000e+01	3.000000e+01	2.600000e+00	5.099020e-01	5.099020e-01
3.000000e+01	4.000000e+01	2.900000e+00	5.385165e-01	5.385165e-01
4.000000e+01	5.000000e+01	5.200000e+00	7.211103e-01	7.211103e-01
5.000000e+01	6.000000e+01	5.100000e+00	7.141428e-01	7.141428e-01
6.000000e+01	7.000000e+01	6.300000e+00	7.937254e-01	7.937254e-01
7.000000e+01	8.000000e+01	5.600000e+00	7.483315e-01	7.483315e-01
8.000000e+01	9.000000e+01	6.100000e+00	7.810250e-01	7.810250e-01
9.000000e+01	1.000000e+02	7.000000e+00	8.366600e-01	8.366600e-01
1.000000e+02	1.100000e+02	8.100000e+00	9.000000e-01	9.000000e-01
1.100000e+02	1.200000e+02	7.700000e+00	8.774964e-01	8.774964e-01
1.200000e+02	1.300000e+02	5.900000e+00	7.681146e-01	7.681146e-01
1.300000e+02	1.400000e+02	6.500000e+00	8.062258e-01	8.062258e-01
1.400000e+02	1.500000e+02	4.500000e+00	6.708204e-01	6.708204e-01
1.500000e+02	1.600000e+02	7.100000e+00	8.426150e-01	8.426150e-01
1.600000e+02	1.700000e+02	7.100000e+00	8.426150e-01	8.426150e-01
1.700000e+02	1.800000e+02	6.100000e+00	7.810250e-01	7.810250e-01
1.800000e+02	1.900000e+02	4.800000e+00	6.928203e-01	6.928203e-01
1.900000e+02	2.000000e+02	5.200000e+00	7.211103e-01	7.211103e-01
2.000000e+02	2.100000e+02	5.800000e+00	7.615773e-01	7.615773e-01
2.100000e+02	2.200000e+02	5.000000e+00	7.071068e-01	7.071068e-01
2.200000e+02	2.300000e+02	4.400000e+00	6.633250e-01	6.633250e-01
2.300000e+02	2.400000e+02	3.600000e+00	6.000000e-01	6.000000e-01
2.400000e+02	2.500000e+02	4.700000e+00	6.855655e-01	6.855655e-01
2.500000e+02	2.600000e+02	3.500000e+00	5.916080e-01	5.916080e-01
