# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-all-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-all-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-all-osof-emu
XLabel=$m_{e\mu}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-osof-emu
YLabel=$\mathrm{d}N_\text{cand}/\mathrm{d}m_{e\mu}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-all-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-all-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-all-osof-emu
RatioPlot=1
Title=$m_{e\mu}$ distribution for combinatoric $e^\pm \mu^\mp$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-osof-emu
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-osof-emu
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.136000e+02	3.370460e+00	3.370460e+00
1.000000e+01	2.000000e+01	1.801000e+02	4.243819e+00	4.243819e+00
2.000000e+01	3.000000e+01	2.809000e+02	5.300000e+00	5.300000e+00
3.000000e+01	4.000000e+01	3.594000e+02	5.994998e+00	5.994998e+00
4.000000e+01	5.000000e+01	4.753000e+02	6.894200e+00	6.894200e+00
5.000000e+01	6.000000e+01	5.620000e+02	7.496666e+00	7.496666e+00
6.000000e+01	7.000000e+01	6.066000e+02	7.788453e+00	7.788453e+00
7.000000e+01	8.000000e+01	6.342000e+02	7.963667e+00	7.963667e+00
8.000000e+01	9.000000e+01	6.566000e+02	8.103086e+00	8.103086e+00
9.000000e+01	1.000000e+02	6.332000e+02	7.957387e+00	7.957387e+00
1.000000e+02	1.100000e+02	6.554000e+02	8.095678e+00	8.095678e+00
1.100000e+02	1.200000e+02	6.372000e+02	7.982481e+00	7.982481e+00
1.200000e+02	1.300000e+02	6.063000e+02	7.786527e+00	7.786527e+00
1.300000e+02	1.400000e+02	6.015000e+02	7.755643e+00	7.755643e+00
1.400000e+02	1.500000e+02	5.771000e+02	7.596710e+00	7.596710e+00
1.500000e+02	1.600000e+02	5.572000e+02	7.464583e+00	7.464583e+00
1.600000e+02	1.700000e+02	5.395000e+02	7.345066e+00	7.345066e+00
1.700000e+02	1.800000e+02	5.132000e+02	7.163798e+00	7.163798e+00
1.800000e+02	1.900000e+02	4.952000e+02	7.037045e+00	7.037045e+00
1.900000e+02	2.000000e+02	4.600000e+02	6.782330e+00	6.782330e+00
2.000000e+02	2.100000e+02	4.380000e+02	6.618157e+00	6.618157e+00
2.100000e+02	2.200000e+02	4.282000e+02	6.543699e+00	6.543699e+00
2.200000e+02	2.300000e+02	4.146000e+02	6.438944e+00	6.438944e+00
2.300000e+02	2.400000e+02	3.824000e+02	6.183850e+00	6.183850e+00
2.400000e+02	2.500000e+02	3.587000e+02	5.989157e+00	5.989157e+00
2.500000e+02	2.600000e+02	3.487000e+02	5.905083e+00	5.905083e+00
2.600000e+02	2.700000e+02	3.201000e+02	5.657738e+00	5.657738e+00
2.700000e+02	2.800000e+02	3.195000e+02	5.652433e+00	5.652433e+00
2.800000e+02	2.900000e+02	3.005000e+02	5.481788e+00	5.481788e+00
2.900000e+02	3.000000e+02	2.892000e+02	5.377732e+00	5.377732e+00
3.000000e+02	3.100000e+02	2.785000e+02	5.277310e+00	5.277310e+00
3.100000e+02	3.200000e+02	2.529000e+02	5.028916e+00	5.028916e+00
3.200000e+02	3.300000e+02	2.462000e+02	4.961854e+00	4.961854e+00
3.300000e+02	3.400000e+02	2.296000e+02	4.791659e+00	4.791659e+00
3.400000e+02	3.500000e+02	2.146000e+02	4.632494e+00	4.632494e+00
3.500000e+02	3.600000e+02	2.146000e+02	4.632494e+00	4.632494e+00
3.600000e+02	3.700000e+02	2.117000e+02	4.601087e+00	4.601087e+00
3.700000e+02	3.800000e+02	1.886000e+02	4.342810e+00	4.342810e+00
3.800000e+02	3.900000e+02	1.769000e+02	4.205948e+00	4.205948e+00
