# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-all-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-all-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-all-ossf-ee
XLabel=$m_{ee}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-ee
YLabel=$\mathrm{d}N_\text{cand}/\mathrm{d}m_{ee}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-all-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-all-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-all-ossf-ee
RatioPlot=1
Title=$m_{ee}$ distribution for combinatoric $e^+ e^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-ee
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-ee
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.419000e+02	3.766962e+00	3.766962e+00
1.000000e+01	2.000000e+01	9.530000e+01	3.087070e+00	3.087070e+00
2.000000e+01	3.000000e+01	1.547000e+02	3.933192e+00	3.933192e+00
3.000000e+01	4.000000e+01	1.999000e+02	4.471018e+00	4.471018e+00
4.000000e+01	5.000000e+01	2.621000e+02	5.119570e+00	5.119570e+00
5.000000e+01	6.000000e+01	3.011000e+02	5.487258e+00	5.487258e+00
6.000000e+01	7.000000e+01	3.465000e+02	5.886425e+00	5.886425e+00
7.000000e+01	8.000000e+01	3.459000e+02	5.881326e+00	5.881326e+00
8.000000e+01	9.000000e+01	3.540000e+02	5.949790e+00	5.949790e+00
9.000000e+01	1.000000e+02	7.965000e+02	8.924685e+00	8.924685e+00
1.000000e+02	1.100000e+02	3.421000e+02	5.848932e+00	5.848932e+00
1.100000e+02	1.200000e+02	3.344000e+02	5.782733e+00	5.782733e+00
1.200000e+02	1.300000e+02	3.235000e+02	5.687706e+00	5.687706e+00
1.300000e+02	1.400000e+02	3.037000e+02	5.510898e+00	5.510898e+00
1.400000e+02	1.500000e+02	3.085000e+02	5.554278e+00	5.554278e+00
1.500000e+02	1.600000e+02	2.979000e+02	5.458022e+00	5.458022e+00
1.600000e+02	1.700000e+02	2.784000e+02	5.276362e+00	5.276362e+00
1.700000e+02	1.800000e+02	2.698000e+02	5.194228e+00	5.194228e+00
1.800000e+02	1.900000e+02	2.539000e+02	5.038849e+00	5.038849e+00
1.900000e+02	2.000000e+02	2.533000e+02	5.032892e+00	5.032892e+00
2.000000e+02	2.100000e+02	2.410000e+02	4.909175e+00	4.909175e+00
2.100000e+02	2.200000e+02	2.242000e+02	4.734976e+00	4.734976e+00
2.200000e+02	2.300000e+02	2.162000e+02	4.649731e+00	4.649731e+00
2.300000e+02	2.400000e+02	2.003000e+02	4.475489e+00	4.475489e+00
2.400000e+02	2.500000e+02	1.892000e+02	4.349713e+00	4.349713e+00
2.500000e+02	2.600000e+02	1.833000e+02	4.281355e+00	4.281355e+00
