# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-all-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-all-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-all-ossf-mumu
XLabel=$m_{\mu\mu}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-mumu
YLabel=$\mathrm{d}N_\text{cand}/\mathrm{d}m_{\mu\mu}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-all-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-all-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-all-ossf-mumu
RatioPlot=1
Title=$m_{\mu\mu}$ distribution for combinatoric $\mu^+ \mu^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-mumu
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-all-ossf-mumu
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.550000e+01	2.355844e+00	2.355844e+00
1.000000e+01	2.000000e+01	7.940000e+01	2.817801e+00	2.817801e+00
2.000000e+01	3.000000e+01	1.208000e+02	3.475629e+00	3.475629e+00
3.000000e+01	4.000000e+01	1.723000e+02	4.150904e+00	4.150904e+00
4.000000e+01	5.000000e+01	2.160000e+02	4.647580e+00	4.647580e+00
5.000000e+01	6.000000e+01	2.559000e+02	5.058656e+00	5.058656e+00
6.000000e+01	7.000000e+01	2.792000e+02	5.283938e+00	5.283938e+00
7.000000e+01	8.000000e+01	2.933000e+02	5.415718e+00	5.415718e+00
8.000000e+01	9.000000e+01	3.041000e+02	5.514526e+00	5.514526e+00
9.000000e+01	1.000000e+02	7.482000e+02	8.649855e+00	8.649855e+00
1.000000e+02	1.100000e+02	2.956000e+02	5.436911e+00	5.436911e+00
1.100000e+02	1.200000e+02	2.982000e+02	5.460769e+00	5.460769e+00
1.200000e+02	1.300000e+02	2.899000e+02	5.384236e+00	5.384236e+00
1.300000e+02	1.400000e+02	2.827000e+02	5.316954e+00	5.316954e+00
1.400000e+02	1.500000e+02	2.730000e+02	5.224940e+00	5.224940e+00
1.500000e+02	1.600000e+02	2.709000e+02	5.204805e+00	5.204805e+00
1.600000e+02	1.700000e+02	2.599000e+02	5.098039e+00	5.098039e+00
1.700000e+02	1.800000e+02	2.533000e+02	5.032892e+00	5.032892e+00
1.800000e+02	1.900000e+02	2.409000e+02	4.908156e+00	4.908156e+00
1.900000e+02	2.000000e+02	2.203000e+02	4.693613e+00	4.693613e+00
2.000000e+02	2.100000e+02	2.241000e+02	4.733920e+00	4.733920e+00
2.100000e+02	2.200000e+02	2.018000e+02	4.492215e+00	4.492215e+00
2.200000e+02	2.300000e+02	1.981000e+02	4.450843e+00	4.450843e+00
2.300000e+02	2.400000e+02	1.905000e+02	4.364631e+00	4.364631e+00
2.400000e+02	2.500000e+02	1.842000e+02	4.291853e+00	4.291853e+00
2.500000e+02	2.600000e+02	1.725000e+02	4.153312e+00	4.153312e+00
2.600000e+02	2.700000e+02	1.606000e+02	4.007493e+00	4.007493e+00
2.700000e+02	2.800000e+02	1.500000e+02	3.872983e+00	3.872983e+00
2.800000e+02	2.900000e+02	1.415000e+02	3.761649e+00	3.761649e+00
2.900000e+02	3.000000e+02	1.415000e+02	3.761649e+00	3.761649e+00
3.000000e+02	3.100000e+02	1.368000e+02	3.698648e+00	3.698648e+00
3.100000e+02	3.200000e+02	1.272000e+02	3.566511e+00	3.566511e+00
3.200000e+02	3.300000e+02	1.199000e+02	3.462658e+00	3.462658e+00
3.300000e+02	3.400000e+02	1.144000e+02	3.382307e+00	3.382307e+00
3.400000e+02	3.500000e+02	1.105000e+02	3.324154e+00	3.324154e+00
3.500000e+02	3.600000e+02	1.027000e+02	3.204684e+00	3.204684e+00
3.600000e+02	3.700000e+02	1.045000e+02	3.232646e+00	3.232646e+00
3.700000e+02	3.800000e+02	9.450000e+01	3.074085e+00	3.074085e+00
3.800000e+02	3.900000e+02	8.990000e+01	2.998333e+00	2.998333e+00
3.900000e+02	4.000000e+02	8.560000e+01	2.925748e+00	2.925748e+00
4.000000e+02	4.100000e+02	7.860000e+01	2.803569e+00	2.803569e+00
4.100000e+02	4.200000e+02	8.170000e+01	2.858321e+00	2.858321e+00
4.200000e+02	4.300000e+02	7.470000e+01	2.733130e+00	2.733130e+00
4.300000e+02	4.400000e+02	7.820000e+01	2.796426e+00	2.796426e+00
4.400000e+02	4.500000e+02	7.260000e+01	2.694439e+00	2.694439e+00
4.500000e+02	4.600000e+02	6.130000e+01	2.475884e+00	2.475884e+00
4.600000e+02	4.700000e+02	6.060000e+01	2.461707e+00	2.461707e+00
4.700000e+02	4.800000e+02	5.550000e+01	2.355844e+00	2.355844e+00
4.800000e+02	4.900000e+02	5.810000e+01	2.410394e+00	2.410394e+00
4.900000e+02	5.000000e+02	5.600000e+01	2.366432e+00	2.366432e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-all-ossf-mumu
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-all-ossf-mumu
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.270000e+01	2.295648e+00	2.295648e+00
1.000000e+01	2.000000e+01	7.860000e+01	2.803569e+00	2.803569e+00
2.000000e+01	3.000000e+01	1.286000e+02	3.586084e+00	3.586084e+00
3.000000e+01	4.000000e+01	1.626000e+02	4.032369e+00	4.032369e+00
4.000000e+01	5.000000e+01	2.044000e+02	4.521062e+00	4.521062e+00
5.000000e+01	6.000000e+01	2.431000e+02	4.930517e+00	4.930517e+00
6.000000e+01	7.000000e+01	2.663000e+02	5.160426e+00	5.160426e+00
7.000000e+01	8.000000e+01	2.920000e+02	5.403702e+00	5.403702e+00
8.000000e+01	9.000000e+01	3.019000e+02	5.494543e+00	5.494543e+00
9.000000e+01	1.000000e+02	7.436000e+02	8.623224e+00	8.623224e+00
1.000000e+02	1.100000e+02	2.946000e+02	5.427707e+00	5.427707e+00
1.100000e+02	1.200000e+02	2.906000e+02	5.390733e+00	5.390733e+00
1.200000e+02	1.300000e+02	2.806000e+02	5.297169e+00	5.297169e+00
1.300000e+02	1.400000e+02	2.795000e+02	5.286776e+00	5.286776e+00
1.400000e+02	1.500000e+02	2.676000e+02	5.173007e+00	5.173007e+00
1.500000e+02	1.600000e+02	2.534000e+02	5.033885e+00	5.033885e+00
1.600000e+02	1.700000e+02	2.444000e+02	4.943683e+00	4.943683e+00
1.700000e+02	1.800000e+02	2.334000e+02	4.831149e+00	4.831149e+00
1.800000e+02	1.900000e+02	2.382000e+02	4.880574e+00	4.880574e+00
1.900000e+02	2.000000e+02	2.243000e+02	4.736032e+00	4.736032e+00
2.000000e+02	2.100000e+02	2.108000e+02	4.591296e+00	4.591296e+00
2.100000e+02	2.200000e+02	2.058000e+02	4.536518e+00	4.536518e+00
2.200000e+02	2.300000e+02	1.968000e+02	4.436215e+00	4.436215e+00
2.300000e+02	2.400000e+02	1.882000e+02	4.338202e+00	4.338202e+00
2.400000e+02	2.500000e+02	1.695000e+02	4.117038e+00	4.117038e+00
2.500000e+02	2.600000e+02	1.678000e+02	4.096340e+00	4.096340e+00
2.600000e+02	2.700000e+02	1.606000e+02	4.007493e+00	4.007493e+00
2.700000e+02	2.800000e+02	1.548000e+02	3.934463e+00	3.934463e+00
2.800000e+02	2.900000e+02	1.438000e+02	3.792097e+00	3.792097e+00
2.900000e+02	3.000000e+02	1.400000e+02	3.741657e+00	3.741657e+00
3.000000e+02	3.100000e+02	1.352000e+02	3.676955e+00	3.676955e+00
3.100000e+02	3.200000e+02	1.212000e+02	3.481379e+00	3.481379e+00
3.200000e+02	3.300000e+02	1.171000e+02	3.421988e+00	3.421988e+00
3.300000e+02	3.400000e+02	1.195000e+02	3.456877e+00	3.456877e+00
3.400000e+02	3.500000e+02	1.084000e+02	3.292416e+00	3.292416e+00
3.500000e+02	3.600000e+02	1.003000e+02	3.167018e+00	3.167018e+00
3.600000e+02	3.700000e+02	9.680000e+01	3.111270e+00	3.111270e+00
3.700000e+02	3.800000e+02	9.410000e+01	3.067572e+00	3.067572e+00
3.800000e+02	3.900000e+02	9.160000e+01	3.026549e+00	3.026549e+00
3.900000e+02	4.000000e+02	8.730000e+01	2.954657e+00	2.954657e+00
4.000000e+02	4.100000e+02	7.910000e+01	2.812472e+00	2.812472e+00
4.100000e+02	4.200000e+02	7.920000e+01	2.814249e+00	2.814249e+00
4.200000e+02	4.300000e+02	7.190000e+01	2.681418e+00	2.681418e+00
4.300000e+02	4.400000e+02	7.070000e+01	2.658947e+00	2.658947e+00
4.400000e+02	4.500000e+02	6.680000e+01	2.584570e+00	2.584570e+00
4.500000e+02	4.600000e+02	6.650000e+01	2.578759e+00	2.578759e+00
4.600000e+02	4.700000e+02	5.950000e+01	2.439262e+00	2.439262e+00
4.700000e+02	4.800000e+02	5.990000e+01	2.447448e+00	2.447448e+00
4.800000e+02	4.900000e+02	5.240000e+01	2.289105e+00	2.289105e+00
4.900000e+02	5.000000e+02	5.040000e+01	2.244994e+00	2.244994e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-all-ossf-mumu
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-all-ossf-mumu
Title=mmht2014
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.270000e+01	2.295648e+00	2.295648e+00
1.000000e+01	2.000000e+01	7.670000e+01	2.769476e+00	2.769476e+00
2.000000e+01	3.000000e+01	1.237000e+02	3.517101e+00	3.517101e+00
3.000000e+01	4.000000e+01	1.633000e+02	4.041039e+00	4.041039e+00
4.000000e+01	5.000000e+01	2.154000e+02	4.641121e+00	4.641121e+00
5.000000e+01	6.000000e+01	2.561000e+02	5.060632e+00	5.060632e+00
6.000000e+01	7.000000e+01	2.655000e+02	5.152669e+00	5.152669e+00
7.000000e+01	8.000000e+01	2.888000e+02	5.374012e+00	5.374012e+00
8.000000e+01	9.000000e+01	3.048000e+02	5.520869e+00	5.520869e+00
9.000000e+01	1.000000e+02	7.504000e+02	8.662563e+00	8.662563e+00
1.000000e+02	1.100000e+02	2.889000e+02	5.374942e+00	5.374942e+00
1.100000e+02	1.200000e+02	2.900000e+02	5.385165e+00	5.385165e+00
1.200000e+02	1.300000e+02	2.863000e+02	5.350701e+00	5.350701e+00
1.300000e+02	1.400000e+02	2.886000e+02	5.372150e+00	5.372150e+00
1.400000e+02	1.500000e+02	2.732000e+02	5.226854e+00	5.226854e+00
1.500000e+02	1.600000e+02	2.607000e+02	5.105879e+00	5.105879e+00
1.600000e+02	1.700000e+02	2.519000e+02	5.018964e+00	5.018964e+00
1.700000e+02	1.800000e+02	2.494000e+02	4.993996e+00	4.993996e+00
