# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-osof-emu
XLabel=$m_{e\mu}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-osof-emu
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}m_{e\mu}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-osof-emu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-osof-emu
RatioPlot=1
Title=$m_{e\mu}$ distribution for leading $e^\pm \mu^\mp$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-osof-emu
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-osof-emu
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.600000e+00	7.483315e-01	7.483315e-01
1.000000e+01	2.000000e+01	8.500000e+00	9.219544e-01	9.219544e-01
2.000000e+01	3.000000e+01	1.480000e+01	1.216553e+00	1.216553e+00
3.000000e+01	4.000000e+01	1.780000e+01	1.334166e+00	1.334166e+00
4.000000e+01	5.000000e+01	2.650000e+01	1.627882e+00	1.627882e+00
5.000000e+01	6.000000e+01	2.650000e+01	1.627882e+00	1.627882e+00
6.000000e+01	7.000000e+01	3.170000e+01	1.780449e+00	1.780449e+00
7.000000e+01	8.000000e+01	3.580000e+01	1.892089e+00	1.892089e+00
8.000000e+01	9.000000e+01	3.920000e+01	1.979899e+00	1.979899e+00
9.000000e+01	1.000000e+02	4.010000e+01	2.002498e+00	2.002498e+00
1.000000e+02	1.100000e+02	4.710000e+01	2.170253e+00	2.170253e+00
1.100000e+02	1.200000e+02	4.770000e+01	2.184033e+00	2.184033e+00
1.200000e+02	1.300000e+02	4.800000e+01	2.190890e+00	2.190890e+00
1.300000e+02	1.400000e+02	5.030000e+01	2.242766e+00	2.242766e+00
1.400000e+02	1.500000e+02	5.190000e+01	2.278157e+00	2.278157e+00
1.500000e+02	1.600000e+02	5.660000e+01	2.379075e+00	2.379075e+00
1.600000e+02	1.700000e+02	5.870000e+01	2.422808e+00	2.422808e+00
1.700000e+02	1.800000e+02	5.770000e+01	2.402082e+00	2.402082e+00
1.800000e+02	1.900000e+02	5.600000e+01	2.366432e+00	2.366432e+00
1.900000e+02	2.000000e+02	5.420000e+01	2.328089e+00	2.328089e+00
2.000000e+02	2.100000e+02	5.800000e+01	2.408319e+00	2.408319e+00
2.100000e+02	2.200000e+02	5.890000e+01	2.426932e+00	2.426932e+00
2.200000e+02	2.300000e+02	5.210000e+01	2.282542e+00	2.282542e+00
2.300000e+02	2.400000e+02	5.340000e+01	2.310844e+00	2.310844e+00
2.400000e+02	2.500000e+02	5.510000e+01	2.347339e+00	2.347339e+00
