# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-ossf-ee
XLabel=$m_{ee}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-ee
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}m_{ee}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-ossf-ee //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-ossf-ee
RatioPlot=1
Title=$m_{ee}$ distribution for leading $e^+ e^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-ee
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-ee
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.400000e+00	6.633250e-01	6.633250e-01
1.000000e+01	2.000000e+01	4.800000e+00	6.928203e-01	6.928203e-01
2.000000e+01	3.000000e+01	5.700000e+00	7.549834e-01	7.549834e-01
3.000000e+01	4.000000e+01	1.040000e+01	1.019804e+00	1.019804e+00
4.000000e+01	5.000000e+01	1.220000e+01	1.104536e+00	1.104536e+00
5.000000e+01	6.000000e+01	1.240000e+01	1.113553e+00	1.113553e+00
6.000000e+01	7.000000e+01	1.640000e+01	1.280625e+00	1.280625e+00
7.000000e+01	8.000000e+01	1.680000e+01	1.296148e+00	1.296148e+00
8.000000e+01	9.000000e+01	1.830000e+01	1.352775e+00	1.352775e+00
9.000000e+01	1.000000e+02	1.034000e+02	3.215587e+00	3.215587e+00
1.000000e+02	1.100000e+02	2.400000e+01	1.549193e+00	1.549193e+00
1.100000e+02	1.200000e+02	2.340000e+01	1.529706e+00	1.529706e+00
1.200000e+02	1.300000e+02	2.530000e+01	1.590597e+00	1.590597e+00
1.300000e+02	1.400000e+02	2.180000e+01	1.476482e+00	1.476482e+00
1.400000e+02	1.500000e+02	2.570000e+01	1.603122e+00	1.603122e+00
1.500000e+02	1.600000e+02	2.510000e+01	1.584298e+00	1.584298e+00
1.600000e+02	1.700000e+02	2.600000e+01	1.612452e+00	1.612452e+00
1.700000e+02	1.800000e+02	2.580000e+01	1.606238e+00	1.606238e+00
1.800000e+02	1.900000e+02	2.920000e+01	1.708801e+00	1.708801e+00
1.900000e+02	2.000000e+02	2.750000e+01	1.658312e+00	1.658312e+00
2.000000e+02	2.100000e+02	2.940000e+01	1.714643e+00	1.714643e+00
2.100000e+02	2.200000e+02	2.280000e+01	1.509967e+00	1.509967e+00
2.200000e+02	2.300000e+02	2.620000e+01	1.618641e+00	1.618641e+00
2.300000e+02	2.400000e+02	2.760000e+01	1.661325e+00	1.661325e+00
2.400000e+02	2.500000e+02	2.770000e+01	1.664332e+00	1.664332e+00
2.500000e+02	2.600000e+02	3.030000e+01	1.740690e+00	1.740690e+00
2.600000e+02	2.700000e+02	2.730000e+01	1.652271e+00	1.652271e+00
2.700000e+02	2.800000e+02	2.350000e+01	1.532971e+00	1.532971e+00
2.800000e+02	2.900000e+02	2.770000e+01	1.664332e+00	1.664332e+00
2.900000e+02	3.000000e+02	2.580000e+01	1.606238e+00	1.606238e+00
3.000000e+02	3.100000e+02	2.420000e+01	1.555635e+00	1.555635e+00
3.100000e+02	3.200000e+02	2.520000e+01	1.587451e+00	1.587451e+00
3.200000e+02	3.300000e+02	2.270000e+01	1.506652e+00	1.506652e+00
3.300000e+02	3.400000e+02	2.250000e+01	1.500000e+00	1.500000e+00
3.400000e+02	3.500000e+02	2.490000e+01	1.577973e+00	1.577973e+00
3.500000e+02	3.600000e+02	2.350000e+01	1.532971e+00	1.532971e+00
3.600000e+02	3.700000e+02	2.210000e+01	1.486607e+00	1.486607e+00
3.700000e+02	3.800000e+02	2.200000e+01	1.483240e+00	1.483240e+00
3.800000e+02	3.900000e+02	2.030000e+01	1.424781e+00	1.424781e+00
3.900000e+02	4.000000e+02	1.960000e+01	1.400000e+00	1.400000e+00
4.000000e+02	4.100000e+02	1.870000e+01	1.367479e+00	1.367479e+00
4.100000e+02	4.200000e+02	1.820000e+01	1.349074e+00	1.349074e+00
4.200000e+02	4.300000e+02	2.030000e+01	1.424781e+00	1.424781e+00
4.300000e+02	4.400000e+02	1.710000e+01	1.307670e+00	1.307670e+00
4.400000e+02	4.500000e+02	1.730000e+01	1.315295e+00	1.315295e+00
4.500000e+02	4.600000e+02	2.000000e+01	1.414214e+00	1.414214e+00
4.600000e+02	4.700000e+02	1.730000e+01	1.315295e+00	1.315295e+00
4.700000e+02	4.800000e+02	1.790000e+01	1.337909e+00	1.337909e+00
4.800000e+02	4.900000e+02	1.760000e+01	1.326650e+00	1.326650e+00
4.900000e+02	5.000000e+02	1.790000e+01	1.337909e+00	1.337909e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-ossf-ee
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-ossf-ee
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.100000e+00	7.141428e-01	7.141428e-01
