# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-ossf-mumu
XLabel=$m_{\mu\mu}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-mumu
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}m_{\mu\mu}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/mll-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/mll-ossf-mumu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/mll-ossf-mumu
RatioPlot=1
Title=$m_{\mu\mu}$ distribution for leading $\mu^+ \mu^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-mumu
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/mll-ossf-mumu
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.400000e+00	5.830952e-01	5.830952e-01
1.000000e+01	2.000000e+01	3.600000e+00	6.000000e-01	6.000000e-01
2.000000e+01	3.000000e+01	6.300000e+00	7.937254e-01	7.937254e-01
3.000000e+01	4.000000e+01	9.400000e+00	9.695360e-01	9.695360e-01
4.000000e+01	5.000000e+01	9.100000e+00	9.539392e-01	9.539392e-01
5.000000e+01	6.000000e+01	1.230000e+01	1.109054e+00	1.109054e+00
6.000000e+01	7.000000e+01	1.720000e+01	1.311488e+00	1.311488e+00
7.000000e+01	8.000000e+01	1.490000e+01	1.220656e+00	1.220656e+00
8.000000e+01	9.000000e+01	1.900000e+01	1.378405e+00	1.378405e+00
9.000000e+01	1.000000e+02	1.076000e+02	3.280244e+00	3.280244e+00
1.000000e+02	1.100000e+02	1.870000e+01	1.367479e+00	1.367479e+00
1.100000e+02	1.200000e+02	2.150000e+01	1.466288e+00	1.466288e+00
1.200000e+02	1.300000e+02	1.870000e+01	1.367479e+00	1.367479e+00
1.300000e+02	1.400000e+02	2.220000e+01	1.489966e+00	1.489966e+00
1.400000e+02	1.500000e+02	2.360000e+01	1.536229e+00	1.536229e+00
1.500000e+02	1.600000e+02	2.410000e+01	1.552417e+00	1.552417e+00
1.600000e+02	1.700000e+02	2.530000e+01	1.590597e+00	1.590597e+00
1.700000e+02	1.800000e+02	2.830000e+01	1.682260e+00	1.682260e+00
1.800000e+02	1.900000e+02	2.640000e+01	1.624808e+00	1.624808e+00
1.900000e+02	2.000000e+02	2.250000e+01	1.500000e+00	1.500000e+00
2.000000e+02	2.100000e+02	2.730000e+01	1.652271e+00	1.652271e+00
2.100000e+02	2.200000e+02	2.500000e+01	1.581139e+00	1.581139e+00
2.200000e+02	2.300000e+02	2.620000e+01	1.618641e+00	1.618641e+00
2.300000e+02	2.400000e+02	2.270000e+01	1.506652e+00	1.506652e+00
2.400000e+02	2.500000e+02	2.530000e+01	1.590597e+00	1.590597e+00
2.500000e+02	2.600000e+02	2.650000e+01	1.627882e+00	1.627882e+00
