# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/n-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/n-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/n-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/n-trk
XLabel=$N_\text{ch}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/n-trk
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}N_\text{ch}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/n-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/n-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/n-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/n-trk
RatioPlot=1
Title=Multiplicity distribution for charged tracks
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/n-trk
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/n-trk
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+00	1.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.250000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	2.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+01	3.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.050000e+01	3.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.650000e+01	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.250000e+01	4.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+01	5.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.450000e+01	6.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.050000e+01	6.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.650000e+01	7.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.250000e+01	7.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.850000e+01	8.450000e+01	6.666667e-01	3.333333e-01	3.333333e-01
8.450000e+01	9.050000e+01	1.500000e+00	5.000000e-01	5.000000e-01
9.050000e+01	9.650000e+01	3.333333e+00	7.453560e-01	7.453560e-01
9.650000e+01	1.025000e+02	1.033333e+01	1.312335e+00	1.312335e+00
1.025000e+02	1.085000e+02	1.983333e+01	1.818119e+00	1.818119e+00
1.085000e+02	1.145000e+02	3.783333e+01	2.511087e+00	2.511087e+00
1.145000e+02	1.205000e+02	7.216667e+01	3.468109e+00	3.468109e+00
1.205000e+02	1.265000e+02	1.156667e+02	4.390647e+00	4.390647e+00
1.265000e+02	1.325000e+02	1.735000e+02	5.377422e+00	5.377422e+00
1.325000e+02	1.385000e+02	2.330000e+02	6.231640e+00	6.231640e+00
1.385000e+02	1.445000e+02	2.825000e+02	6.861730e+00	6.861730e+00
1.445000e+02	1.505000e+02	3.291667e+02	7.406829e+00	7.406829e+00
1.505000e+02	1.565000e+02	3.520000e+02	7.659417e+00	7.659417e+00
1.565000e+02	1.625000e+02	3.558333e+02	7.701010e+00	7.701010e+00
1.625000e+02	1.685000e+02	3.290000e+02	7.404953e+00	7.404953e+00
