# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-e
XLabel=$\phi$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-e
YLabel=$\mathrm{d}N_e/\mathrm{d}\phi$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-e
RatioPlot=1
Title=$\phi$ distribution for $e^+$, $e^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-e
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-e
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	1.757862e+04	3.740132e+02	3.740132e+02
-3.015929e+00	-2.890265e+00	1.704545e+04	3.682976e+02	3.682976e+02
-2.890265e+00	-2.764602e+00	1.761855e+04	3.744393e+02	3.744393e+02
-2.764602e+00	-2.638938e+00	1.749905e+04	3.731657e+02	3.731657e+02
-2.638938e+00	-2.513274e+00	1.716482e+04	3.695849e+02	3.695849e+02
-2.513274e+00	-2.387610e+00	1.775369e+04	3.758711e+02	3.758711e+02
-2.387610e+00	-2.261947e+00	1.738778e+04	3.719789e+02	3.719789e+02
-2.261947e+00	-2.136283e+00	1.759454e+04	3.741825e+02	3.741825e+02
-2.136283e+00	-2.010619e+00	1.719665e+04	3.699274e+02	3.699274e+02
-2.010619e+00	-1.884956e+00	1.754693e+04	3.736774e+02	3.736774e+02
-1.884956e+00	-1.759292e+00	1.736376e+04	3.717205e+02	3.717205e+02
-1.759292e+00	-1.633628e+00	1.772982e+04	3.756183e+02	3.756183e+02
-1.633628e+00	-1.507964e+00	1.732398e+04	3.712943e+02	3.712943e+02
-1.507964e+00	-1.382301e+00	1.713313e+04	3.692450e+02	3.692450e+02
-1.382301e+00	-1.256637e+00	1.679876e+04	3.656228e+02	3.656228e+02
-1.256637e+00	-1.130973e+00	1.733989e+04	3.714649e+02	3.714649e+02
-1.130973e+00	-1.005310e+00	1.803236e+04	3.788110e+02	3.788110e+02
-1.005310e+00	-8.796459e-01	1.719664e+04	3.699271e+02	3.699271e+02
-8.796459e-01	-7.539822e-01	1.677493e+04	3.653638e+02	3.653638e+02
-7.539822e-01	-6.283185e-01	1.748317e+04	3.729969e+02	3.729969e+02
-6.283185e-01	-5.026548e-01	1.745930e+04	3.727421e+02	3.727421e+02
-5.026548e-01	-3.769911e-01	1.708528e+04	3.687281e+02	3.687281e+02
-3.769911e-01	-2.513274e-01	1.706141e+04	3.684704e+02	3.684704e+02
-2.513274e-01	-1.256637e-01	1.780148e+04	3.763771e+02	3.763771e+02
-1.256637e-01	4.440892e-16	1.716486e+04	3.695858e+02	3.695858e+02
4.440892e-16	1.256637e-01	1.737972e+04	3.718917e+02	3.718917e+02
1.256637e-01	2.513274e-01	1.750704e+04	3.732514e+02	3.732514e+02
2.513274e-01	3.769911e-01	1.710120e+04	3.688998e+02	3.688998e+02
3.769911e-01	5.026548e-01	1.712507e+04	3.691572e+02	3.691572e+02
5.026548e-01	6.283185e-01	1.741951e+04	3.723171e+02	3.723171e+02
6.283185e-01	7.539822e-01	1.718078e+04	3.697571e+02	3.697571e+02
7.539822e-01	8.796459e-01	1.735585e+04	3.716362e+02	3.716362e+02
8.796459e-01	1.005310e+00	1.721255e+04	3.700983e+02	3.700983e+02
1.005310e+00	1.130973e+00	1.734003e+04	3.714678e+02	3.714678e+02
1.130973e+00	1.256637e+00	1.747517e+04	3.729111e+02	3.729111e+02
1.256637e+00	1.382301e+00	1.756271e+04	3.738439e+02	3.738439e+02
1.382301e+00	1.507964e+00	1.710129e+04	3.689018e+02	3.689018e+02
1.507964e+00	1.633628e+00	1.730806e+04	3.711238e+02	3.711238e+02
1.633628e+00	1.759292e+00	1.743538e+04	3.724863e+02	3.724863e+02
1.759292e+00	1.884956e+00	1.665553e+04	3.640606e+02	3.640606e+02
1.884956e+00	2.010619e+00	1.754693e+04	3.736774e+02	3.736774e+02
2.010619e+00	2.136283e+00	1.765820e+04	3.748589e+02	3.748589e+02
2.136283e+00	2.261947e+00	1.692609e+04	3.670057e+02	3.670057e+02
2.261947e+00	2.387610e+00	1.787320e+04	3.771355e+02	3.771355e+02
2.387610e+00	2.513274e+00	1.689426e+04	3.666605e+02	3.666605e+02
2.513274e+00	2.638938e+00	1.694200e+04	3.671783e+02	3.671783e+02
2.638938e+00	2.764602e+00	1.735581e+04	3.716353e+02	3.716353e+02
2.764602e+00	2.890265e+00	1.796869e+04	3.781417e+02	3.781417e+02
2.890265e+00	3.015929e+00	1.713299e+04	3.692420e+02	3.692420e+02
3.015929e+00	3.141593e+00	1.699771e+04	3.677814e+02	3.677814e+02
# END HISTO1D

