# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-gamma-iso
XLabel=$\phi$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma-iso
YLabel=$\mathrm{d}N_{\gamma\text{iso}}/\mathrm{d}\phi$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-gamma-iso
RatioPlot=1
Title=$\phi$ distribution for $\Delta{R}=0.2$ jet-isolated photons
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma-iso
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma-iso
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	1.149573e+05	9.564514e+02	9.564514e+02
-3.015929e+00	-2.890265e+00	1.170423e+05	9.650858e+02	9.650858e+02
-2.890265e+00	-2.764602e+00	1.154516e+05	9.585093e+02	9.585093e+02
-2.764602e+00	-2.638938e+00	1.158486e+05	9.601520e+02	9.601520e+02
-2.638938e+00	-2.513274e+00	1.174879e+05	9.669213e+02	9.669213e+02
-2.513274e+00	-2.387610e+00	1.178142e+05	9.682630e+02	9.682630e+02
-2.387610e+00	-2.261947e+00	1.142500e+05	9.535082e+02	9.535082e+02
-2.261947e+00	-2.136283e+00	1.172890e+05	9.661023e+02	9.661023e+02
-2.136283e+00	-2.010619e+00	1.179574e+05	9.688514e+02	9.688514e+02
-2.010619e+00	-1.884956e+00	1.166771e+05	9.635831e+02	9.635831e+02
-1.884956e+00	-1.759292e+00	1.179415e+05	9.687860e+02	9.687860e+02
-1.759292e+00	-1.633628e+00	1.125462e+05	9.463677e+02	9.463677e+02
-1.633628e+00	-1.507964e+00	1.165171e+05	9.629180e+02	9.629180e+02
-1.507964e+00	-1.382301e+00	1.152686e+05	9.577493e+02	9.577493e+02
-1.382301e+00	-1.256637e+00	1.176471e+05	9.675760e+02	9.675760e+02
-1.256637e+00	-1.130973e+00	1.174322e+05	9.666921e+02	9.666921e+02
-1.130973e+00	-1.005310e+00	1.162633e+05	9.618729e+02	9.618729e+02
-1.005310e+00	-8.796459e-01	1.162146e+05	9.616669e+02	9.616669e+02
-8.796459e-01	-7.539822e-01	1.174564e+05	9.667926e+02	9.667926e+02
-7.539822e-01	-6.283185e-01	1.161354e+05	9.613407e+02	9.613407e+02
-6.283185e-01	-5.026548e-01	1.164139e+05	9.624928e+02	9.624928e+02
-5.026548e-01	-3.769911e-01	1.157932e+05	9.599234e+02	9.599234e+02
-3.769911e-01	-2.513274e-01	1.157852e+05	9.598904e+02	9.598904e+02
-2.513274e-01	-1.256637e-01	1.144404e+05	9.542995e+02	9.542995e+02
