# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-gamma
XLabel=$\phi$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma
YLabel=$\mathrm{d}N_\gamma/\mathrm{d}\phi$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-gamma
RatioPlot=1
Title=$\phi$ distribution for photons
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-gamma
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	2.142618e+05	1.305771e+03	1.305771e+03
-3.015929e+00	-2.890265e+00	2.132194e+05	1.302590e+03	1.302590e+03
-2.890265e+00	-2.764602e+00	2.147410e+05	1.307235e+03	1.307235e+03
-2.764602e+00	-2.638938e+00	2.166969e+05	1.313170e+03	1.313170e+03
-2.638938e+00	-2.513274e+00	2.174608e+05	1.315483e+03	1.315483e+03
-2.513274e+00	-2.387610e+00	2.167128e+05	1.313218e+03	1.313218e+03
-2.387610e+00	-2.261947e+00	2.147092e+05	1.307138e+03	1.307138e+03
-2.261947e+00	-2.136283e+00	2.178985e+05	1.316806e+03	1.316806e+03
-2.136283e+00	-2.010619e+00	2.191320e+05	1.320527e+03	1.320527e+03
-2.010619e+00	-1.884956e+00	2.136110e+05	1.303791e+03	1.303791e+03
-1.884956e+00	-1.759292e+00	2.156067e+05	1.309862e+03	1.309862e+03
-1.759292e+00	-1.633628e+00	2.109912e+05	1.295766e+03	1.295766e+03
-1.633628e+00	-1.507964e+00	2.163070e+05	1.311988e+03	1.311988e+03
-1.507964e+00	-1.382301e+00	2.146376e+05	1.306920e+03	1.306920e+03
-1.382301e+00	-1.256637e+00	2.190126e+05	1.320168e+03	1.320168e+03
-1.256637e+00	-1.130973e+00	2.170232e+05	1.314158e+03	1.314158e+03
-1.130973e+00	-1.005310e+00	2.120831e+05	1.299120e+03	1.299120e+03
-1.005310e+00	-8.796459e-01	2.127974e+05	1.301301e+03	1.301301e+03
-8.796459e-01	-7.539822e-01	2.195940e+05	1.321921e+03	1.321921e+03
-7.539822e-01	-6.283185e-01	2.159176e+05	1.310808e+03	1.310808e+03
-6.283185e-01	-5.026548e-01	2.169521e+05	1.313944e+03	1.313944e+03
-5.026548e-01	-3.769911e-01	2.139600e+05	1.304852e+03	1.304852e+03
-3.769911e-01	-2.513274e-01	2.128061e+05	1.301329e+03	1.301329e+03
-2.513274e-01	-1.256637e-01	2.112464e+05	1.296551e+03	1.296551e+03
-1.256637e-01	4.440892e-16	2.130130e+05	1.301961e+03	1.301961e+03
4.440892e-16	1.256637e-01	2.146284e+05	1.306889e+03	1.306889e+03
1.256637e-01	2.513274e-01	2.139361e+05	1.304779e+03	1.304779e+03
2.513274e-01	3.769911e-01	2.139281e+05	1.304755e+03	1.304755e+03
3.769911e-01	5.026548e-01	2.136735e+05	1.303978e+03	1.303978e+03
5.026548e-01	6.283185e-01	2.162836e+05	1.311919e+03	1.311919e+03
6.283185e-01	7.539822e-01	2.162279e+05	1.311750e+03	1.311750e+03
7.539822e-01	8.796459e-01	2.122331e+05	1.299576e+03	1.299576e+03
8.796459e-01	1.005310e+00	2.145641e+05	1.306691e+03	1.306691e+03
1.005310e+00	1.130973e+00	2.150434e+05	1.308155e+03	1.308155e+03
1.130973e+00	1.256637e+00	2.197606e+05	1.322420e+03	1.322420e+03
1.256637e+00	1.382301e+00	2.144608e+05	1.306377e+03	1.306377e+03
1.382301e+00	1.507964e+00	2.184096e+05	1.318354e+03	1.318354e+03
1.507964e+00	1.633628e+00	2.189967e+05	1.320120e+03	1.320120e+03
1.633628e+00	1.759292e+00	2.173972e+05	1.315290e+03	1.315290e+03
1.759292e+00	1.884956e+00	2.148746e+05	1.307637e+03	1.307637e+03
1.884956e+00	2.010619e+00	2.179639e+05	1.317009e+03	1.317009e+03
2.010619e+00	2.136283e+00	2.142778e+05	1.305819e+03	1.305819e+03
2.136283e+00	2.261947e+00	2.193309e+05	1.321127e+03	1.321127e+03
2.261947e+00	2.387610e+00	2.180594e+05	1.317297e+03	1.317297e+03
2.387610e+00	2.513274e+00	2.147552e+05	1.307273e+03	1.307273e+03
2.513274e+00	2.638938e+00	2.141663e+05	1.305480e+03	1.305480e+03
2.638938e+00	2.764602e+00	2.151690e+05	1.308532e+03	1.308532e+03
2.764602e+00	2.890265e+00	2.126561e+05	1.300874e+03	1.300874e+03
2.890265e+00	3.015929e+00	2.156783e+05	1.310080e+03	1.310080e+03
3.015929e+00	3.141593e+00	2.152566e+05	1.308798e+03	1.308798e+03
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-gamma
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-gamma
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	2.174370e+05	1.315410e+03	1.315410e+03
-3.015929e+00	-2.890265e+00	2.071635e+05	1.283959e+03	1.283959e+03
-2.890265e+00	-2.764602e+00	2.171124e+05	1.314434e+03	1.314434e+03
-2.764602e+00	-2.638938e+00	2.158534e+05	1.310612e+03	1.310612e+03
-2.638938e+00	-2.513274e+00	2.122247e+05	1.299548e+03	1.299548e+03
-2.513274e+00	-2.387610e+00	2.114846e+05	1.297281e+03	1.297281e+03
-2.387610e+00	-2.261947e+00	2.123696e+05	1.299997e+03	1.299997e+03
-2.261947e+00	-2.136283e+00	2.120496e+05	1.299012e+03	1.299012e+03
-2.136283e+00	-2.010619e+00	2.104421e+05	1.294079e+03	1.294079e+03
-2.010619e+00	-1.884956e+00	2.128391e+05	1.301434e+03	1.301434e+03
-1.884956e+00	-1.759292e+00	2.147313e+05	1.307201e+03	1.307201e+03
-1.759292e+00	-1.633628e+00	2.138401e+05	1.304485e+03	1.304485e+03
-1.633628e+00	-1.507964e+00	2.117154e+05	1.297988e+03	1.297988e+03
-1.507964e+00	-1.382301e+00	2.132211e+05	1.302601e+03	1.302601e+03
-1.382301e+00	-1.256637e+00	2.110151e+05	1.295840e+03	1.295840e+03
-1.256637e+00	-1.130973e+00	2.111742e+05	1.296328e+03	1.296328e+03
-1.130973e+00	-1.005310e+00	2.138418e+05	1.304495e+03	1.304495e+03
-1.005310e+00	-8.796459e-01	2.140946e+05	1.305261e+03	1.305261e+03
-8.796459e-01	-7.539822e-01	2.141748e+05	1.305507e+03	1.305507e+03
-7.539822e-01	-6.283185e-01	2.143976e+05	1.306186e+03	1.306186e+03
-6.283185e-01	-5.026548e-01	2.171510e+05	1.314547e+03	1.314547e+03
-5.026548e-01	-3.769911e-01	2.092012e+05	1.290260e+03	1.290260e+03
-3.769911e-01	-2.513274e-01	2.138565e+05	1.304537e+03	1.304537e+03
-2.513274e-01	-1.256637e-01	2.112782e+05	1.296649e+03	1.296649e+03
-1.256637e-01	4.440892e-16	2.164189e+05	1.312329e+03	1.312329e+03
4.440892e-16	1.256637e-01	2.141987e+05	1.305580e+03	1.305580e+03
1.256637e-01	2.513274e-01	2.126947e+05	1.300988e+03	1.300988e+03
2.513274e-01	3.769911e-01	2.124878e+05	1.300355e+03	1.300355e+03
3.769911e-01	5.026548e-01	2.133154e+05	1.302885e+03	1.302885e+03
5.026548e-01	6.283185e-01	2.158221e+05	1.310518e+03	1.310518e+03
6.283185e-01	7.539822e-01	2.142146e+05	1.305628e+03	1.305628e+03
7.539822e-01	8.796459e-01	2.155754e+05	1.309769e+03	1.309769e+03
8.796459e-01	1.005310e+00	2.135534e+05	1.303610e+03	1.303610e+03
1.005310e+00	1.130973e+00	2.148285e+05	1.307502e+03	1.307502e+03
1.130973e+00	1.256637e+00	2.144210e+05	1.306256e+03	1.306256e+03
1.256637e+00	1.382301e+00	2.111822e+05	1.296353e+03	1.296353e+03
1.382301e+00	1.507964e+00	2.163803e+05	1.312216e+03	1.312216e+03
1.507964e+00	1.633628e+00	2.128454e+05	1.301448e+03	1.301448e+03
1.633628e+00	1.759292e+00	2.126862e+05	1.300961e+03	1.300961e+03
1.759292e+00	1.884956e+00	2.110708e+05	1.296011e+03	1.296011e+03
1.884956e+00	2.010619e+00	2.151867e+05	1.308591e+03	1.308591e+03
2.010619e+00	2.136283e+00	2.105297e+05	1.294348e+03	1.294348e+03
2.136283e+00	2.261947e+00	2.127737e+05	1.301229e+03	1.301229e+03
2.261947e+00	2.387610e+00	2.155607e+05	1.309728e+03	1.309728e+03
