# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-jet
XLabel=$\phi$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-jet
YLabel=$\mathrm{d}N_\text{jet}/\mathrm{d}\phi$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-jet
RatioPlot=1
Title=$\phi$ distribution for $R=0.7$ anti-$k_\perp$ jets
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-jet
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-jet
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	5.564840e+04	6.654584e+02	6.654584e+02
-3.015929e+00	-2.890265e+00	5.516297e+04	6.625496e+02	6.625496e+02
-2.890265e+00	-2.764602e+00	5.625363e+04	6.690700e+02	6.690700e+02
-2.764602e+00	-2.638938e+00	5.692163e+04	6.730282e+02	6.730282e+02
-2.638938e+00	-2.513274e+00	5.578368e+04	6.662667e+02	6.662667e+02
-2.513274e+00	-2.387610e+00	5.626114e+04	6.691120e+02	6.691120e+02
-2.387610e+00	-2.261947e+00	5.694596e+04	6.731746e+02	6.731746e+02
-2.261947e+00	-2.136283e+00	5.572797e+04	6.659340e+02	6.659340e+02
-2.136283e+00	-2.010619e+00	5.653966e+04	6.707662e+02	6.707662e+02
-2.010619e+00	-1.884956e+00	5.581595e+04	6.664621e+02	6.664621e+02
-1.884956e+00	-1.759292e+00	5.563248e+04	6.653632e+02	6.653632e+02
-1.759292e+00	-1.633628e+00	5.595079e+04	6.672640e+02	6.672640e+02
-1.633628e+00	-1.507964e+00	5.593487e+04	6.671691e+02	6.671691e+02
-1.507964e+00	-1.382301e+00	5.568067e+04	6.656539e+02	6.656539e+02
-1.382301e+00	-1.256637e+00	5.630889e+04	6.693959e+02	6.693959e+02
-1.256637e+00	-1.130973e+00	5.637255e+04	6.697742e+02	6.697742e+02
-1.130973e+00	-1.005310e+00	5.536236e+04	6.637485e+02	6.637485e+02
-1.005310e+00	-8.796459e-01	5.546532e+04	6.643626e+02	6.643626e+02
-8.796459e-01	-7.539822e-01	5.660346e+04	6.711453e+02	6.711453e+02
-7.539822e-01	-6.283185e-01	5.705705e+04	6.738291e+02	6.738291e+02
-6.283185e-01	-5.026548e-01	5.622944e+04	6.689243e+02	6.689243e+02
-5.026548e-01	-3.769911e-01	5.663529e+04	6.713340e+02	6.713340e+02
-3.769911e-01	-2.513274e-01	5.584747e+04	6.666484e+02	6.666484e+02
-2.513274e-01	-1.256637e-01	5.500395e+04	6.615947e+02	6.615947e+02
-1.256637e-01	4.440892e-16	5.583951e+04	6.666009e+02	6.666009e+02
4.440892e-16	1.256637e-01	5.577585e+04	6.662208e+02	6.662208e+02
1.256637e-01	2.513274e-01	5.735944e+04	6.756123e+02	6.756123e+02
2.513274e-01	3.769911e-01	5.545754e+04	6.643170e+02	6.643170e+02
3.769911e-01	5.026548e-01	5.522677e+04	6.629334e+02	6.629334e+02
5.026548e-01	6.283185e-01	5.611804e+04	6.682613e+02	6.682613e+02
6.283185e-01	7.539822e-01	5.546550e+04	6.643647e+02	6.643647e+02
7.539822e-01	8.796459e-01	5.459015e+04	6.591014e+02	6.591014e+02
8.796459e-01	1.005310e+00	5.658736e+04	6.710488e+02	6.710488e+02
1.005310e+00	1.130973e+00	5.673110e+04	6.719035e+02	6.719035e+02
1.130973e+00	1.256637e+00	5.618952e+04	6.686860e+02	6.686860e+02
1.256637e+00	1.382301e+00	5.584734e+04	6.666468e+02	6.666468e+02
1.382301e+00	1.507964e+00	5.689821e+04	6.728924e+02	6.728924e+02
1.507964e+00	1.633628e+00	5.634072e+04	6.695851e+02	6.695851e+02
1.633628e+00	1.759292e+00	5.700917e+04	6.735455e+02	6.735455e+02
1.759292e+00	1.884956e+00	5.596670e+04	6.673589e+02	6.673589e+02
1.884956e+00	2.010619e+00	5.576821e+04	6.661770e+02	6.661770e+02
2.010619e+00	2.136283e+00	5.672269e+04	6.718510e+02	6.718510e+02
2.136283e+00	2.261947e+00	5.715241e+04	6.743911e+02	6.743911e+02
2.261947e+00	2.387610e+00	5.546581e+04	6.643684e+02	6.643684e+02
2.387610e+00	2.513274e+00	5.630093e+04	6.693486e+02	6.693486e+02
2.513274e+00	2.638938e+00	5.673860e+04	6.719452e+02	6.719452e+02
2.638938e+00	2.764602e+00	5.529030e+04	6.633138e+02	6.633138e+02
2.764602e+00	2.890265e+00	5.640483e+04	6.699686e+02	6.699686e+02
2.890265e+00	3.015929e+00	5.441495e+04	6.580421e+02	6.580421e+02
3.015929e+00	3.141593e+00	5.703304e+04	6.736865e+02	6.736865e+02
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-jet
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-jet
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	5.610199e+04	6.681649e+02	6.681649e+02
-3.015929e+00	-2.890265e+00	5.613382e+04	6.683545e+02	6.683545e+02
-2.890265e+00	-2.764602e+00	5.660377e+04	6.711491e+02	6.711491e+02
-2.764602e+00	-2.638938e+00	5.743888e+04	6.760792e+02	6.760792e+02
-2.638938e+00	-2.513274e+00	5.573593e+04	6.659815e+02	6.659815e+02
-2.513274e+00	-2.387610e+00	5.579163e+04	6.663143e+02	6.663143e+02
-2.387610e+00	-2.261947e+00	5.579208e+04	6.663196e+02	6.663196e+02
-2.261947e+00	-2.136283e+00	5.590304e+04	6.669792e+02	6.669792e+02
-2.136283e+00	-2.010619e+00	5.525847e+04	6.631228e+02	6.631228e+02
-2.010619e+00	-1.884956e+00	5.659582e+04	6.711019e+02	6.711019e+02
-1.884956e+00	-1.759292e+00	5.615769e+04	6.684966e+02	6.684966e+02
-1.759292e+00	-1.633628e+00	5.587917e+04	6.668368e+02	6.668368e+02
-1.633628e+00	-1.507964e+00	5.649987e+04	6.705301e+02	6.705301e+02
-1.507964e+00	-1.382301e+00	5.591940e+04	6.670794e+02	6.670794e+02
-1.382301e+00	-1.256637e+00	5.590304e+04	6.669792e+02	6.669792e+02
-1.256637e+00	-1.130973e+00	5.531417e+04	6.634570e+02	6.634570e+02
-1.130973e+00	-1.005310e+00	5.651624e+04	6.706299e+02	6.706299e+02
-1.005310e+00	-8.796459e-01	5.556082e+04	6.649342e+02	6.649342e+02
-8.796459e-01	-7.539822e-01	5.581564e+04	6.664584e+02	6.664584e+02
-7.539822e-01	-6.283185e-01	5.630106e+04	6.693502e+02	6.693502e+02
-6.283185e-01	-5.026548e-01	5.691381e+04	6.729827e+02	6.729827e+02
-5.026548e-01	-3.769911e-01	5.584747e+04	6.666484e+02	6.666484e+02
-3.769911e-01	-2.513274e-01	5.542571e+04	6.641264e+02	6.641264e+02
