# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-mu
XLabel=$\phi$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-mu
YLabel=$\mathrm{d}N_\mu/\mathrm{d}\phi$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-mu
RatioPlot=1
Title=$\phi$ distribution for $\mu^+$, $\mu^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-mu
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-mu
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	1.476159e+04	3.427371e+02	3.427371e+02
-3.015929e+00	-2.890265e+00	1.517539e+04	3.475077e+02	3.475077e+02
-2.890265e+00	-2.764602e+00	1.554953e+04	3.517668e+02	3.517668e+02
-2.764602e+00	-2.638938e+00	1.648841e+04	3.622296e+02	3.622296e+02
-2.638938e+00	-2.513274e+00	1.578813e+04	3.544541e+02	3.544541e+02
-2.513274e+00	-2.387610e+00	1.595525e+04	3.563250e+02	3.563250e+02
-2.387610e+00	-2.261947e+00	1.602699e+04	3.571267e+02	3.571267e+02
-2.261947e+00	-2.136283e+00	1.604278e+04	3.573011e+02	3.573011e+02
-2.136283e+00	-2.010619e+00	1.611440e+04	3.580978e+02	3.580978e+02
-2.010619e+00	-1.884956e+00	1.621798e+04	3.592483e+02	3.592483e+02
-1.884956e+00	-1.759292e+00	1.580405e+04	3.546327e+02	3.546327e+02
-1.759292e+00	-1.633628e+00	1.581201e+04	3.547219e+02	3.547219e+02
-1.633628e+00	-1.507964e+00	1.613032e+04	3.582746e+02	3.582746e+02
-1.507964e+00	-1.382301e+00	1.599516e+04	3.567719e+02	3.567719e+02
-1.382301e+00	-1.256637e+00	1.598708e+04	3.566803e+02	3.566803e+02
-1.256637e+00	-1.130973e+00	1.585975e+04	3.552571e+02	3.552571e+02
-1.130973e+00	-1.005310e+00	1.656812e+04	3.631056e+02	3.631056e+02
-1.005310e+00	-8.796459e-01	1.623375e+04	3.594213e+02	3.594213e+02
-8.796459e-01	-7.539822e-01	1.617810e+04	3.588053e+02	3.588053e+02
-7.539822e-01	-6.283185e-01	1.597120e+04	3.565035e+02	3.565035e+02
-6.283185e-01	-5.026548e-01	1.585183e+04	3.551688e+02	3.551688e+02
-5.026548e-01	-3.769911e-01	1.644866e+04	3.617932e+02	3.617932e+02
-3.769911e-01	-2.513274e-01	1.595528e+04	3.563259e+02	3.563259e+02
-2.513274e-01	-1.256637e-01	1.607465e+04	3.576563e+02	3.576563e+02
-1.256637e-01	4.440892e-16	1.659986e+04	3.634522e+02	3.634522e+02
4.440892e-16	1.256637e-01	1.597120e+04	3.565035e+02	3.565035e+02
1.256637e-01	2.513274e-01	1.596324e+04	3.564147e+02	3.564147e+02
2.513274e-01	3.769911e-01	1.572451e+04	3.537396e+02	3.537396e+02
3.769911e-01	5.026548e-01	1.557331e+04	3.520348e+02	3.520348e+02
5.026548e-01	6.283185e-01	1.557331e+04	3.520348e+02	3.520348e+02
6.283185e-01	7.539822e-01	1.549373e+04	3.511342e+02	3.511342e+02
7.539822e-01	8.796459e-01	1.585979e+04	3.552580e+02	3.552580e+02
8.796459e-01	1.005310e+00	1.582791e+04	3.549001e+02	3.549001e+02
1.005310e+00	1.130973e+00	1.621002e+04	3.591601e+02	3.591601e+02
1.130973e+00	1.256637e+00	1.605074e+04	3.573897e+02	3.573897e+02
1.256637e+00	1.382301e+00	1.609053e+04	3.578324e+02	3.578324e+02
1.382301e+00	1.507964e+00	1.543812e+04	3.505044e+02	3.505044e+02
1.507964e+00	1.633628e+00	1.581996e+04	3.548112e+02	3.548112e+02
1.633628e+00	1.759292e+00	1.507194e+04	3.463212e+02	3.463212e+02
1.759292e+00	1.884956e+00	1.617010e+04	3.587162e+02	3.587162e+02
1.884956e+00	2.010619e+00	1.613840e+04	3.583658e+02	3.583658e+02
2.010619e+00	2.136283e+00	1.593137e+04	3.560583e+02	3.560583e+02
2.136283e+00	2.261947e+00	1.600299e+04	3.568578e+02	3.568578e+02
2.261947e+00	2.387610e+00	1.575643e+04	3.540994e+02	3.540994e+02
2.387610e+00	2.513274e+00	1.589954e+04	3.557025e+02	3.557025e+02
2.513274e+00	2.638938e+00	1.585180e+04	3.551680e+02	3.551680e+02
2.638938e+00	2.764602e+00	1.593137e+04	3.560583e+02	3.560583e+02
2.764602e+00	2.890265e+00	1.506410e+04	3.462325e+02	3.462325e+02
2.890265e+00	3.015929e+00	1.519130e+04	3.476899e+02	3.476899e+02
3.015929e+00	3.141593e+00	1.562898e+04	3.526630e+02	3.526630e+02
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-mu
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-mu
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	1.686243e+04	3.663149e+02	3.663149e+02
-3.015929e+00	-2.890265e+00	1.578813e+04	3.544541e+02	3.544541e+02
-2.890265e+00	-2.764602e+00	1.585192e+04	3.551708e+02	3.551708e+02
-2.764602e+00	-2.638938e+00	1.579609e+04	3.545434e+02	3.545434e+02
-2.638938e+00	-2.513274e+00	1.557327e+04	3.520339e+02	3.520339e+02
-2.513274e+00	-2.387610e+00	1.574834e+04	3.540071e+02	3.540071e+02
