# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-trk
XLabel=$\phi$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-trk
YLabel=$\mathrm{d}N_\text{ch}/\mathrm{d}\phi$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/phi-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/phi-trk
RatioPlot=1
Title=$\phi$ distribution for charged tracks
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-trk
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/phi-trk
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	5.000955e+05	1.994900e+03	1.994900e+03
-3.015929e+00	-2.890265e+00	5.005650e+05	1.995836e+03	1.995836e+03
-2.890265e+00	-2.764602e+00	5.007281e+05	1.996169e+03	1.996169e+03
-2.764602e+00	-2.638938e+00	5.092150e+05	2.013006e+03	2.013006e+03
-2.638938e+00	-2.513274e+00	5.037560e+05	2.002187e+03	2.002187e+03
-2.513274e+00	-2.387610e+00	5.056102e+05	2.005869e+03	2.005869e+03
-2.387610e+00	-2.261947e+00	4.982771e+05	1.991277e+03	1.991277e+03
-2.261947e+00	-2.136283e+00	5.058410e+05	2.006326e+03	2.006326e+03
-2.136283e+00	-2.010619e+00	5.081089e+05	2.010819e+03	2.010819e+03
-2.010619e+00	-1.884956e+00	4.990172e+05	1.992756e+03	1.992756e+03
-1.884956e+00	-1.759292e+00	5.009708e+05	1.996645e+03	1.996645e+03
-1.759292e+00	-1.633628e+00	4.959256e+05	1.986565e+03	1.986565e+03
-1.633628e+00	-1.507964e+00	5.030637e+05	2.000811e+03	2.000811e+03
-1.507964e+00	-1.382301e+00	5.058848e+05	2.006421e+03	2.006421e+03
-1.382301e+00	-1.256637e+00	5.021645e+05	1.999022e+03	1.999022e+03
-1.256637e+00	-1.130973e+00	5.032388e+05	2.001159e+03	2.001159e+03
-1.130973e+00	-1.005310e+00	5.006167e+05	1.995947e+03	1.995947e+03
-1.005310e+00	-8.796459e-01	4.977396e+05	1.990194e+03	1.990194e+03
-8.796459e-01	-7.539822e-01	5.093356e+05	2.013247e+03	2.013247e+03
-7.539822e-01	-6.283185e-01	5.018553e+05	1.998409e+03	1.998409e+03
-6.283185e-01	-5.026548e-01	5.075292e+05	2.009674e+03	2.009674e+03
-5.026548e-01	-3.769911e-01	5.011551e+05	1.997014e+03	1.997014e+03
-3.769911e-01	-2.513274e-01	4.923458e+05	1.979385e+03	1.979385e+03
-2.513274e-01	-1.256637e-01	4.945661e+05	1.983843e+03	1.983843e+03
-1.256637e-01	4.440892e-16	5.011153e+05	1.996935e+03	1.996935e+03
4.440892e-16	1.256637e-01	4.998022e+05	1.994317e+03	1.994317e+03
1.256637e-01	2.513274e-01	4.992850e+05	1.993285e+03	1.993285e+03
2.513274e-01	3.769911e-01	4.985529e+05	1.991823e+03	1.991823e+03
3.769911e-01	5.026548e-01	4.979003e+05	1.990519e+03	1.990519e+03
5.026548e-01	6.283185e-01	4.978685e+05	1.990455e+03	1.990455e+03
6.283185e-01	7.539822e-01	4.957836e+05	1.986283e+03	1.986283e+03
7.539822e-01	8.796459e-01	4.980436e+05	1.990805e+03	1.990805e+03
8.796459e-01	1.005310e+00	4.980579e+05	1.990831e+03	1.990831e+03
1.005310e+00	1.130973e+00	5.051765e+05	2.005016e+03	2.005016e+03
1.130973e+00	1.256637e+00	5.028807e+05	2.000447e+03	2.000447e+03
1.256637e+00	1.382301e+00	5.039709e+05	2.002614e+03	2.002614e+03
1.382301e+00	1.507964e+00	5.007202e+05	1.996153e+03	1.996153e+03
1.507964e+00	1.633628e+00	5.060320e+05	2.006705e+03	2.006705e+03
1.633628e+00	1.759292e+00	5.058648e+05	2.006374e+03	2.006374e+03
1.759292e+00	1.884956e+00	5.015836e+05	1.997865e+03	1.997865e+03
1.884956e+00	2.010619e+00	5.099990e+05	2.014563e+03	2.014563e+03
2.010619e+00	2.136283e+00	5.095015e+05	2.013573e+03	2.013573e+03
2.136283e+00	2.261947e+00	5.158279e+05	2.026035e+03	2.026035e+03
2.261947e+00	2.387610e+00	5.128558e+05	2.020198e+03	2.020198e+03
2.387610e+00	2.513274e+00	4.991963e+05	1.993105e+03	1.993105e+03
2.513274e+00	2.638938e+00	4.951776e+05	1.985067e+03	1.985067e+03
2.638938e+00	2.764602e+00	5.036844e+05	2.002045e+03	2.002045e+03
2.764602e+00	2.890265e+00	5.019377e+05	1.998578e+03	1.998578e+03
2.890265e+00	3.015929e+00	4.985835e+05	1.991882e+03	1.991882e+03
3.015929e+00	3.141593e+00	5.006287e+05	1.995963e+03	1.995963e+03
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-trk
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/phi-trk
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.015929e+00	5.058091e+05	2.006263e+03	2.006263e+03
-3.015929e+00	-2.890265e+00	4.978116e+05	1.990339e+03	1.990339e+03
-2.890265e+00	-2.764602e+00	5.008395e+05	1.996391e+03	1.996391e+03
-2.764602e+00	-2.638938e+00	5.042017e+05	2.003073e+03	2.003073e+03
-2.638938e+00	-2.513274e+00	4.958859e+05	1.986486e+03	1.986486e+03
-2.513274e+00	-2.387610e+00	4.942466e+05	1.983199e+03	1.983199e+03
-2.387610e+00	-2.261947e+00	5.017706e+05	1.998246e+03	1.998246e+03
-2.261947e+00	-2.136283e+00	4.957108e+05	1.986135e+03	1.986135e+03
-2.136283e+00	-2.010619e+00	4.953606e+05	1.985433e+03	1.985433e+03
-2.010619e+00	-1.884956e+00	5.016672e+05	1.998040e+03	1.998040e+03
-1.884956e+00	-1.759292e+00	5.020531e+05	1.998800e+03	1.998800e+03
-1.759292e+00	-1.633628e+00	4.964031e+05	1.987521e+03	1.987521e+03
-1.633628e+00	-1.507964e+00	4.982652e+05	1.991246e+03	1.991246e+03
-1.507964e+00	-1.382301e+00	5.018263e+05	1.998357e+03	1.998357e+03
-1.382301e+00	-1.256637e+00	4.942704e+05	1.983247e+03	1.983247e+03
-1.256637e+00	-1.130973e+00	4.959813e+05	1.986677e+03	1.986677e+03
-1.130973e+00	-1.005310e+00	4.992559e+05	1.993232e+03	1.993232e+03
-1.005310e+00	-8.796459e-01	5.010102e+05	1.996722e+03	1.996722e+03
