# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-e
XLabel=$p_\perp$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-e
YLabel=$\mathrm{d}N_e/\mathrm{d}p_\perp$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-e //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-e
RatioPlot=1
Title=$p_\perp$ distribution for $e^+$, $e^-$
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-e
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-e
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	2.075600e+03	2.037449e+01	2.037449e+01
1.500000e+01	2.000000e+01	1.448800e+03	1.702234e+01	1.702234e+01
2.000000e+01	2.500000e+01	1.129200e+03	1.502797e+01	1.502797e+01
2.500000e+01	3.000000e+01	9.346000e+02	1.367187e+01	1.367187e+01
3.000000e+01	3.500000e+01	7.870000e+02	1.254592e+01	1.254592e+01
3.500000e+01	4.000000e+01	6.810000e+02	1.167048e+01	1.167048e+01
4.000000e+01	4.500000e+01	6.102000e+02	1.104717e+01	1.104717e+01
4.500000e+01	5.000000e+01	5.316000e+02	1.031116e+01	1.031116e+01
5.000000e+01	5.500000e+01	4.816000e+02	9.814275e+00	9.814275e+00
5.500000e+01	6.000000e+01	4.458000e+02	9.442457e+00	9.442457e+00
6.000000e+01	6.500000e+01	4.262000e+02	9.232551e+00	9.232551e+00
6.500000e+01	7.000000e+01	3.858000e+02	8.784077e+00	8.784077e+00
7.000000e+01	7.500000e+01	3.786000e+02	8.701724e+00	8.701724e+00
7.500000e+01	8.000000e+01	3.570000e+02	8.449852e+00	8.449852e+00
8.000000e+01	8.500000e+01	3.242000e+02	8.052329e+00	8.052329e+00
8.500000e+01	9.000000e+01	3.284000e+02	8.104320e+00	8.104320e+00
9.000000e+01	9.500000e+01	3.166000e+02	7.957387e+00	7.957387e+00
9.500000e+01	1.000000e+02	2.822000e+02	7.512656e+00	7.512656e+00
1.000000e+02	1.050000e+02	2.782000e+02	7.459222e+00	7.459222e+00
1.050000e+02	1.100000e+02	2.572000e+02	7.172168e+00	7.172168e+00
1.100000e+02	1.150000e+02	2.526000e+02	7.107742e+00	7.107742e+00
1.150000e+02	1.200000e+02	2.502000e+02	7.073896e+00	7.073896e+00
1.200000e+02	1.250000e+02	2.236000e+02	6.687301e+00	6.687301e+00
1.250000e+02	1.300000e+02	2.232000e+02	6.681317e+00	6.681317e+00
1.300000e+02	1.350000e+02	2.174000e+02	6.593937e+00	6.593937e+00
1.350000e+02	1.400000e+02	2.058000e+02	6.415606e+00	6.415606e+00
1.400000e+02	1.450000e+02	2.062000e+02	6.421838e+00	6.421838e+00
1.450000e+02	1.500000e+02	1.932000e+02	6.216108e+00	6.216108e+00
1.500000e+02	1.550000e+02	1.824000e+02	6.039868e+00	6.039868e+00
1.550000e+02	1.600000e+02	1.710000e+02	5.848077e+00	5.848077e+00
1.600000e+02	1.650000e+02	1.804000e+02	6.006663e+00	6.006663e+00
1.650000e+02	1.700000e+02	1.716000e+02	5.858327e+00	5.858327e+00
1.700000e+02	1.750000e+02	1.604000e+02	5.663921e+00	5.663921e+00
1.750000e+02	1.800000e+02	1.632000e+02	5.713143e+00	5.713143e+00
1.800000e+02	1.850000e+02	1.514000e+02	5.502727e+00	5.502727e+00
1.850000e+02	1.900000e+02	1.558000e+02	5.582114e+00	5.582114e+00
