# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-gamma-iso
XLabel=$p_\perp$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma-iso
YLabel=$\mathrm{d}N_{\gamma\text{iso}}/\mathrm{d}p_\perp$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-gamma-iso //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-gamma-iso
RatioPlot=1
Title=$p_\perp$ distribution for $\Delta{R}=0.2$ jet-isolated photons
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma-iso
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma-iso
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	5.152660e+04	1.015151e+02	1.015151e+02
1.500000e+01	2.000000e+01	2.715020e+04	7.368881e+01	7.368881e+01
2.000000e+01	2.500000e+01	1.643840e+04	5.733829e+01	5.733829e+01
2.500000e+01	3.000000e+01	1.076780e+04	4.640647e+01	4.640647e+01
3.000000e+01	3.500000e+01	7.448200e+03	3.859585e+01	3.859585e+01
3.500000e+01	4.000000e+01	5.488600e+03	3.313186e+01	3.313186e+01
4.000000e+01	4.500000e+01	4.134200e+03	2.875483e+01	2.875483e+01
4.500000e+01	5.000000e+01	3.157600e+03	2.513006e+01	2.513006e+01
5.000000e+01	5.500000e+01	2.448200e+03	2.212781e+01	2.212781e+01
5.500000e+01	6.000000e+01	2.032200e+03	2.016036e+01	2.016036e+01
6.000000e+01	6.500000e+01	1.607600e+03	1.793098e+01	1.793098e+01
6.500000e+01	7.000000e+01	1.336200e+03	1.634748e+01	1.634748e+01
7.000000e+01	7.500000e+01	1.101000e+03	1.483914e+01	1.483914e+01
7.500000e+01	8.000000e+01	9.426000e+02	1.373026e+01	1.373026e+01
8.000000e+01	8.500000e+01	7.840000e+02	1.252198e+01	1.252198e+01
8.500000e+01	9.000000e+01	6.884000e+02	1.173371e+01	1.173371e+01
9.000000e+01	9.500000e+01	5.986000e+02	1.094166e+01	1.094166e+01
9.500000e+01	1.000000e+02	5.440000e+02	1.043072e+01	1.043072e+01
1.000000e+02	1.050000e+02	4.696000e+02	9.691233e+00	9.691233e+00
1.050000e+02	1.100000e+02	4.234000e+02	9.202174e+00	9.202174e+00
1.100000e+02	1.150000e+02	3.594000e+02	8.478207e+00	8.478207e+00
1.150000e+02	1.200000e+02	3.262000e+02	8.077128e+00	8.077128e+00
1.200000e+02	1.250000e+02	3.052000e+02	7.812810e+00	7.812810e+00
1.250000e+02	1.300000e+02	2.590000e+02	7.197222e+00	7.197222e+00
1.300000e+02	1.350000e+02	2.448000e+02	6.997142e+00	6.997142e+00
1.350000e+02	1.400000e+02	2.326000e+02	6.820557e+00	6.820557e+00
1.400000e+02	1.450000e+02	2.078000e+02	6.446705e+00	6.446705e+00
1.450000e+02	1.500000e+02	1.886000e+02	6.141661e+00	6.141661e+00
1.500000e+02	1.550000e+02	1.750000e+02	5.916080e+00	5.916080e+00
1.550000e+02	1.600000e+02	1.668000e+02	5.775812e+00	5.775812e+00
1.600000e+02	1.650000e+02	1.544000e+02	5.556978e+00	5.556978e+00
1.650000e+02	1.700000e+02	1.392000e+02	5.276362e+00	5.276362e+00
1.700000e+02	1.750000e+02	1.366000e+02	5.226854e+00	5.226854e+00
1.750000e+02	1.800000e+02	1.352000e+02	5.200000e+00	5.200000e+00
