# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-gamma
XLabel=$p_\perp$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma
YLabel=$\mathrm{d}N_\gamma/\mathrm{d}p_\perp$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-gamma //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-gamma
RatioPlot=1
Title=$p_\perp$ distribution for photons
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-gamma
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	8.941620e+04	1.337282e+02	1.337282e+02
1.500000e+01	2.000000e+01	4.865440e+04	9.864522e+01	9.864522e+01
2.000000e+01	2.500000e+01	3.013020e+04	7.762757e+01	7.762757e+01
2.500000e+01	3.000000e+01	2.015140e+04	6.348449e+01	6.348449e+01
3.000000e+01	3.500000e+01	1.426760e+04	5.341835e+01	5.341835e+01
3.500000e+01	4.000000e+01	1.059160e+04	4.602521e+01	4.602521e+01
4.000000e+01	4.500000e+01	8.104800e+03	4.026115e+01	4.026115e+01
4.500000e+01	5.000000e+01	6.280400e+03	3.544122e+01	3.544122e+01
5.000000e+01	5.500000e+01	4.953800e+03	3.147634e+01	3.147634e+01
5.500000e+01	6.000000e+01	4.096200e+03	2.862237e+01	2.862237e+01
6.000000e+01	6.500000e+01	3.287400e+03	2.564137e+01	2.564137e+01
6.500000e+01	7.000000e+01	2.784400e+03	2.359831e+01	2.359831e+01
7.000000e+01	7.500000e+01	2.321400e+03	2.154716e+01	2.154716e+01
7.500000e+01	8.000000e+01	1.978800e+03	1.989372e+01	1.989372e+01
8.000000e+01	8.500000e+01	1.671400e+03	1.828333e+01	1.828333e+01
8.500000e+01	9.000000e+01	1.472000e+03	1.715809e+01	1.715809e+01
9.000000e+01	9.500000e+01	1.300600e+03	1.612824e+01	1.612824e+01
9.500000e+01	1.000000e+02	1.156400e+03	1.520789e+01	1.520789e+01
1.000000e+02	1.050000e+02	1.014400e+03	1.424360e+01	1.424360e+01
1.050000e+02	1.100000e+02	9.116000e+02	1.350259e+01	1.350259e+01
1.100000e+02	1.150000e+02	7.908000e+02	1.257617e+01	1.257617e+01
1.150000e+02	1.200000e+02	7.208000e+02	1.200666e+01	1.200666e+01
1.200000e+02	1.250000e+02	6.378000e+02	1.129425e+01	1.129425e+01
1.250000e+02	1.300000e+02	5.766000e+02	1.073872e+01	1.073872e+01
1.300000e+02	1.350000e+02	5.444000e+02	1.043456e+01	1.043456e+01
1.350000e+02	1.400000e+02	4.984000e+02	9.983987e+00	9.983987e+00
1.400000e+02	1.450000e+02	4.484000e+02	9.469952e+00	9.469952e+00
1.450000e+02	1.500000e+02	4.204000e+02	9.169515e+00	9.169515e+00
1.500000e+02	1.550000e+02	3.776000e+02	8.690224e+00	8.690224e+00
1.550000e+02	1.600000e+02	3.562000e+02	8.440379e+00	8.440379e+00
1.600000e+02	1.650000e+02	3.360000e+02	8.197561e+00	8.197561e+00
1.650000e+02	1.700000e+02	3.072000e+02	7.838367e+00	7.838367e+00
1.700000e+02	1.750000e+02	2.986000e+02	7.727872e+00	7.727872e+00
1.750000e+02	1.800000e+02	2.894000e+02	7.607891e+00	7.607891e+00
1.800000e+02	1.850000e+02	2.658000e+02	7.291090e+00	7.291090e+00
