# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-jet
XLabel=$p_\perp$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-jet
YLabel=$\mathrm{d}N_\text{jet}/\mathrm{d}p_\perp$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-jet
RatioPlot=1
Title=$p_\perp$ distribution for $R=0.7$ anti-$k_\perp$ jets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-jet
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-jet
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	1.108200e+03	8.595348e+00	8.595348e+00
1.500000e+01	3.000000e+01	1.394933e+03	9.643420e+00	9.643420e+00
3.000000e+01	4.500000e+01	1.046067e+03	8.350915e+00	8.350915e+00
4.500000e+01	6.000000e+01	8.642000e+02	7.590345e+00	7.590345e+00
6.000000e+01	7.500000e+01	7.276000e+02	6.964673e+00	6.964673e+00
7.500000e+01	9.000000e+01	6.370667e+02	6.516986e+00	6.516986e+00
9.000000e+01	1.050000e+02	5.715333e+02	6.172700e+00	6.172700e+00
1.050000e+02	1.200000e+02	5.138000e+02	5.852635e+00	5.852635e+00
1.200000e+02	1.350000e+02	4.710667e+02	5.603967e+00	5.603967e+00
1.350000e+02	1.500000e+02	4.272000e+02	5.336666e+00	5.336666e+00
1.500000e+02	1.650000e+02	3.992667e+02	5.159242e+00	5.159242e+00
1.650000e+02	1.800000e+02	3.741333e+02	4.994219e+00	4.994219e+00
1.800000e+02	1.950000e+02	3.526000e+02	4.848367e+00	4.848367e+00
1.950000e+02	2.100000e+02	3.428000e+02	4.780516e+00	4.780516e+00
2.100000e+02	2.250000e+02	3.282000e+02	4.677606e+00	4.677606e+00
2.250000e+02	2.400000e+02	3.064000e+02	4.519587e+00	4.519587e+00
2.400000e+02	2.550000e+02	2.939333e+02	4.426687e+00	4.426687e+00
2.550000e+02	2.700000e+02	2.838667e+02	4.350223e+00	4.350223e+00
2.700000e+02	2.850000e+02	2.742000e+02	4.275512e+00	4.275512e+00
2.850000e+02	3.000000e+02	2.647333e+02	4.201058e+00	4.201058e+00
3.000000e+02	3.150000e+02	2.583333e+02	4.149967e+00	4.149967e+00
3.150000e+02	3.300000e+02	2.476000e+02	4.062840e+00	4.062840e+00
3.300000e+02	3.450000e+02	2.363333e+02	3.969327e+00	3.969327e+00
3.450000e+02	3.600000e+02	2.232000e+02	3.857460e+00	3.857460e+00
3.600000e+02	3.750000e+02	2.166000e+02	3.800000e+00	3.800000e+00
3.750000e+02	3.900000e+02	2.097333e+02	3.739281e+00	3.739281e+00
3.900000e+02	4.050000e+02	2.098667e+02	3.740469e+00	3.740469e+00
4.050000e+02	4.200000e+02	2.016667e+02	3.666667e+00	3.666667e+00
4.200000e+02	4.350000e+02	1.938000e+02	3.594440e+00	3.594440e+00
4.350000e+02	4.500000e+02	1.860000e+02	3.521363e+00	3.521363e+00
4.500000e+02	4.650000e+02	1.758000e+02	3.423449e+00	3.423449e+00
4.650000e+02	4.800000e+02	1.793333e+02	3.457681e+00	3.457681e+00
4.800000e+02	4.950000e+02	1.734667e+02	3.400654e+00	3.400654e+00
4.950000e+02	5.100000e+02	1.680000e+02	3.346640e+00	3.346640e+00
5.100000e+02	5.250000e+02	1.632000e+02	3.298485e+00	3.298485e+00
5.250000e+02	5.400000e+02	1.581333e+02	3.246879e+00	3.246879e+00
5.400000e+02	5.550000e+02	1.620000e+02	3.286335e+00	3.286335e+00
5.550000e+02	5.700000e+02	1.536667e+02	3.200694e+00	3.200694e+00
5.700000e+02	5.850000e+02	1.517333e+02	3.180496e+00	3.180496e+00
5.850000e+02	6.000000e+02	1.438667e+02	3.096952e+00	3.096952e+00
6.000000e+02	6.150000e+02	1.434000e+02	3.091925e+00	3.091925e+00
6.150000e+02	6.300000e+02	1.426000e+02	3.083288e+00	3.083288e+00
6.300000e+02	6.450000e+02	1.370667e+02	3.022876e+00	3.022876e+00
6.450000e+02	6.600000e+02	1.376667e+02	3.029485e+00	3.029485e+00
6.600000e+02	6.750000e+02	1.352000e+02	3.002221e+00	3.002221e+00
6.750000e+02	6.900000e+02	1.281333e+02	2.922708e+00	2.922708e+00
6.900000e+02	7.050000e+02	1.304000e+02	2.948446e+00	2.948446e+00
7.050000e+02	7.200000e+02	1.279333e+02	2.920426e+00	2.920426e+00
7.200000e+02	7.350000e+02	1.266667e+02	2.905933e+00	2.905933e+00
7.350000e+02	7.500000e+02	1.197333e+02	2.825283e+00	2.825283e+00
7.500000e+02	7.650000e+02	1.249333e+02	2.885981e+00	2.885981e+00
7.650000e+02	7.800000e+02	1.174000e+02	2.797618e+00	2.797618e+00
7.800000e+02	7.950000e+02	1.154667e+02	2.774487e+00	2.774487e+00
7.950000e+02	8.100000e+02	1.090667e+02	2.696500e+00	2.696500e+00
8.100000e+02	8.250000e+02	1.088000e+02	2.693201e+00	2.693201e+00
8.250000e+02	8.400000e+02	1.132000e+02	2.747120e+00	2.747120e+00
8.400000e+02	8.550000e+02	1.058667e+02	2.656648e+00	2.656648e+00
8.550000e+02	8.700000e+02	1.052000e+02	2.648270e+00	2.648270e+00
8.700000e+02	8.850000e+02	1.030000e+02	2.620433e+00	2.620433e+00
8.850000e+02	9.000000e+02	1.054000e+02	2.650786e+00	2.650786e+00
9.000000e+02	9.150000e+02	1.010000e+02	2.594867e+00	2.594867e+00
9.150000e+02	9.300000e+02	9.726667e+01	2.546457e+00	2.546457e+00
9.300000e+02	9.450000e+02	9.586667e+01	2.528065e+00	2.528065e+00
9.450000e+02	9.600000e+02	9.473333e+01	2.513077e+00	2.513077e+00
9.600000e+02	9.750000e+02	9.326667e+01	2.493547e+00	2.493547e+00
9.750000e+02	9.900000e+02	9.426667e+01	2.506879e+00	2.506879e+00
9.900000e+02	1.005000e+03	9.000000e+01	2.449490e+00	2.449490e+00
1.005000e+03	1.020000e+03	8.880000e+01	2.433105e+00	2.433105e+00
1.020000e+03	1.035000e+03	9.053333e+01	2.456737e+00	2.456737e+00
1.035000e+03	1.050000e+03	8.880000e+01	2.433105e+00	2.433105e+00
1.050000e+03	1.065000e+03	8.840000e+01	2.427619e+00	2.427619e+00
1.065000e+03	1.080000e+03	8.340000e+01	2.357965e+00	2.357965e+00
1.080000e+03	1.095000e+03	8.346667e+01	2.358907e+00	2.358907e+00
1.095000e+03	1.110000e+03	8.360000e+01	2.360791e+00	2.360791e+00
1.110000e+03	1.125000e+03	7.733333e+01	2.270585e+00	2.270585e+00
1.125000e+03	1.140000e+03	8.000000e+01	2.309401e+00	2.309401e+00
1.140000e+03	1.155000e+03	8.500000e+01	2.380476e+00	2.380476e+00
1.155000e+03	1.170000e+03	7.746667e+01	2.272541e+00	2.272541e+00
1.170000e+03	1.185000e+03	7.173333e+01	2.186829e+00	2.186829e+00
1.185000e+03	1.200000e+03	7.526667e+01	2.240040e+00	2.240040e+00
1.200000e+03	1.215000e+03	7.640000e+01	2.256841e+00	2.256841e+00
1.215000e+03	1.230000e+03	7.386667e+01	2.219109e+00	2.219109e+00
1.230000e+03	1.245000e+03	7.026667e+01	2.164358e+00	2.164358e+00
1.245000e+03	1.260000e+03	7.060000e+01	2.169485e+00	2.169485e+00
1.260000e+03	1.275000e+03	6.973333e+01	2.156128e+00	2.156128e+00
1.275000e+03	1.290000e+03	7.060000e+01	2.169485e+00	2.169485e+00
1.290000e+03	1.305000e+03	7.146667e+01	2.182761e+00	2.182761e+00
1.305000e+03	1.320000e+03	6.946667e+01	2.152002e+00	2.152002e+00
1.320000e+03	1.335000e+03	6.933333e+01	2.149935e+00	2.149935e+00
1.335000e+03	1.350000e+03	7.006667e+01	2.161275e+00	2.161275e+00
1.350000e+03	1.365000e+03	6.793333e+01	2.128119e+00	2.128119e+00
1.365000e+03	1.380000e+03	6.800000e+01	2.129163e+00	2.129163e+00
1.380000e+03	1.395000e+03	6.373333e+01	2.061283e+00	2.061283e+00
1.395000e+03	1.410000e+03	6.300000e+01	2.049390e+00	2.049390e+00
1.410000e+03	1.425000e+03	6.213333e+01	2.035245e+00	2.035245e+00
1.425000e+03	1.440000e+03	6.166667e+01	2.027588e+00	2.027588e+00
1.440000e+03	1.455000e+03	6.033333e+01	2.005548e+00	2.005548e+00
1.455000e+03	1.470000e+03	6.133333e+01	2.022100e+00	2.022100e+00
1.470000e+03	1.485000e+03	5.880000e+01	1.979899e+00	1.979899e+00
1.485000e+03	1.500000e+03	5.853333e+01	1.975404e+00	1.975404e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-jet
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-jet
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	1.126867e+03	8.667436e+00	8.667436e+00
1.500000e+01	3.000000e+01	1.407733e+03	9.687564e+00	9.687564e+00
3.000000e+01	4.500000e+01	1.046400e+03	8.352245e+00	8.352245e+00
4.500000e+01	6.000000e+01	8.723333e+02	7.625979e+00	7.625979e+00
6.000000e+01	7.500000e+01	7.222000e+02	6.938780e+00	6.938780e+00
7.500000e+01	9.000000e+01	6.342667e+02	6.502649e+00	6.502649e+00
9.000000e+01	1.050000e+02	5.669333e+02	6.147809e+00	6.147809e+00
1.050000e+02	1.200000e+02	5.138667e+02	5.853014e+00	5.853014e+00
1.200000e+02	1.350000e+02	4.694000e+02	5.594044e+00	5.594044e+00
1.350000e+02	1.500000e+02	4.263333e+02	5.331250e+00	5.331250e+00
1.500000e+02	1.650000e+02	3.942000e+02	5.126402e+00	5.126402e+00
1.650000e+02	1.800000e+02	3.792667e+02	5.028364e+00	5.028364e+00
1.800000e+02	1.950000e+02	3.621333e+02	4.913474e+00	4.913474e+00
1.950000e+02	2.100000e+02	3.366000e+02	4.737088e+00	4.737088e+00
2.100000e+02	2.250000e+02	3.181333e+02	4.605311e+00	4.605311e+00
2.250000e+02	2.400000e+02	3.087333e+02	4.536763e+00	4.536763e+00
2.400000e+02	2.550000e+02	2.925333e+02	4.416132e+00	4.416132e+00
2.550000e+02	2.700000e+02	2.777333e+02	4.302971e+00	4.302971e+00
2.700000e+02	2.850000e+02	2.678000e+02	4.225321e+00	4.225321e+00
2.850000e+02	3.000000e+02	2.520000e+02	4.098780e+00	4.098780e+00
3.000000e+02	3.150000e+02	2.534000e+02	4.110150e+00	4.110150e+00
3.150000e+02	3.300000e+02	2.434000e+02	4.028234e+00	4.028234e+00
3.300000e+02	3.450000e+02	2.352000e+02	3.959798e+00	3.959798e+00
3.450000e+02	3.600000e+02	2.308667e+02	3.923151e+00	3.923151e+00
3.600000e+02	3.750000e+02	2.190667e+02	3.821576e+00	3.821576e+00
3.750000e+02	3.900000e+02	2.118000e+02	3.757659e+00	3.757659e+00
3.900000e+02	4.050000e+02	2.046667e+02	3.693839e+00	3.693839e+00
4.050000e+02	4.200000e+02	2.032000e+02	3.680580e+00	3.680580e+00
4.200000e+02	4.350000e+02	1.876000e+02	3.536477e+00	3.536477e+00
4.350000e+02	4.500000e+02	1.946000e+02	3.601851e+00	3.601851e+00
4.500000e+02	4.650000e+02	1.800000e+02	3.464102e+00	3.464102e+00
4.650000e+02	4.800000e+02	1.764000e+02	3.429286e+00	3.429286e+00
4.800000e+02	4.950000e+02	1.706000e+02	3.372437e+00	3.372437e+00
4.950000e+02	5.100000e+02	1.686000e+02	3.352611e+00	3.352611e+00
5.100000e+02	5.250000e+02	1.618667e+02	3.284983e+00	3.284983e+00
5.250000e+02	5.400000e+02	1.605333e+02	3.271425e+00	3.271425e+00
5.400000e+02	5.550000e+02	1.616000e+02	3.282276e+00	3.282276e+00
5.550000e+02	5.700000e+02	1.585333e+02	3.250983e+00	3.250983e+00
5.700000e+02	5.850000e+02	1.545333e+02	3.209707e+00	3.209707e+00
5.850000e+02	6.000000e+02	1.434000e+02	3.091925e+00	3.091925e+00
6.000000e+02	6.150000e+02	1.426000e+02	3.083288e+00	3.083288e+00
6.150000e+02	6.300000e+02	1.424667e+02	3.081846e+00	3.081846e+00
6.300000e+02	6.450000e+02	1.424000e+02	3.081125e+00	3.081125e+00
6.450000e+02	6.600000e+02	1.387333e+02	3.041199e+00	3.041199e+00
6.600000e+02	6.750000e+02	1.350000e+02	3.000000e+00	3.000000e+00
6.750000e+02	6.900000e+02	1.356000e+02	3.006659e+00	3.006659e+00
6.900000e+02	7.050000e+02	1.246000e+02	2.882129e+00	2.882129e+00
7.050000e+02	7.200000e+02	1.259333e+02	2.897509e+00	2.897509e+00
7.200000e+02	7.350000e+02	1.231333e+02	2.865116e+00	2.865116e+00
7.350000e+02	7.500000e+02	1.175333e+02	2.799206e+00	2.799206e+00
7.500000e+02	7.650000e+02	1.192000e+02	2.818983e+00	2.818983e+00
7.650000e+02	7.800000e+02	1.180000e+02	2.804758e+00	2.804758e+00
7.800000e+02	7.950000e+02	1.164000e+02	2.785678e+00	2.785678e+00
7.950000e+02	8.100000e+02	1.089333e+02	2.694851e+00	2.694851e+00
8.100000e+02	8.250000e+02	1.122000e+02	2.734959e+00	2.734959e+00
