# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-mu
XLabel=$p_\perp$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-mu
YLabel=$\mathrm{d}N_\mu/\mathrm{d}p_\perp$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-mu //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-mu
RatioPlot=1
Title=$p_\perp$ distribution for $\mu^+$, $\mu^-$
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-mu
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-mu
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	1.380000e+03	1.661325e+01	1.661325e+01
1.500000e+01	2.000000e+01	1.056800e+03	1.453823e+01	1.453823e+01
2.000000e+01	2.500000e+01	9.100000e+02	1.349074e+01	1.349074e+01
2.500000e+01	3.000000e+01	7.754000e+02	1.245311e+01	1.245311e+01
3.000000e+01	3.500000e+01	7.018000e+02	1.184736e+01	1.184736e+01
3.500000e+01	4.000000e+01	6.114000e+02	1.105803e+01	1.105803e+01
4.000000e+01	4.500000e+01	5.300000e+02	1.029563e+01	1.029563e+01
4.500000e+01	5.000000e+01	5.118000e+02	1.011731e+01	1.011731e+01
5.000000e+01	5.500000e+01	4.514000e+02	9.501579e+00	9.501579e+00
5.500000e+01	6.000000e+01	4.300000e+02	9.273618e+00	9.273618e+00
6.000000e+01	6.500000e+01	3.868000e+02	8.795453e+00	8.795453e+00
6.500000e+01	7.000000e+01	3.856000e+02	8.781799e+00	8.781799e+00
7.000000e+01	7.500000e+01	3.616000e+02	8.504117e+00	8.504117e+00
7.500000e+01	8.000000e+01	3.380000e+02	8.221922e+00	8.221922e+00
8.000000e+01	8.500000e+01	3.206000e+02	8.007496e+00	8.007496e+00
8.500000e+01	9.000000e+01	3.088000e+02	7.858753e+00	7.858753e+00
9.000000e+01	9.500000e+01	2.852000e+02	7.552483e+00	7.552483e+00
9.500000e+01	1.000000e+02	2.900000e+02	7.615773e+00	7.615773e+00
1.000000e+02	1.050000e+02	2.822000e+02	7.512656e+00	7.512656e+00
1.050000e+02	1.100000e+02	2.634000e+02	7.258099e+00	7.258099e+00
1.100000e+02	1.150000e+02	2.402000e+02	6.931089e+00	6.931089e+00
1.150000e+02	1.200000e+02	2.394000e+02	6.919538e+00	6.919538e+00
1.200000e+02	1.250000e+02	2.318000e+02	6.808818e+00	6.808818e+00
1.250000e+02	1.300000e+02	2.192000e+02	6.621178e+00	6.621178e+00
1.300000e+02	1.350000e+02	2.044000e+02	6.393747e+00	6.393747e+00
1.350000e+02	1.400000e+02	2.248000e+02	6.705222e+00	6.705222e+00
1.400000e+02	1.450000e+02	1.976000e+02	6.286493e+00	6.286493e+00
1.450000e+02	1.500000e+02	1.980000e+02	6.292853e+00	6.292853e+00
1.500000e+02	1.550000e+02	1.802000e+02	6.003332e+00	6.003332e+00
1.550000e+02	1.600000e+02	1.836000e+02	6.059703e+00	6.059703e+00
1.600000e+02	1.650000e+02	1.832000e+02	6.053098e+00	6.053098e+00
1.650000e+02	1.700000e+02	1.710000e+02	5.848077e+00	5.848077e+00
1.700000e+02	1.750000e+02	1.604000e+02	5.663921e+00	5.663921e+00
1.750000e+02	1.800000e+02	1.624000e+02	5.699123e+00	5.699123e+00
1.800000e+02	1.850000e+02	1.654000e+02	5.751522e+00	5.751522e+00
