# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-trk
XLabel=$p_\perp$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-trk
YLabel=$\mathrm{d}N_\text{ch}/\mathrm{d}p_\perp$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MC_SUSY/pt-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MC_SUSY/pt-trk //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MC_SUSY/pt-trk
RatioPlot=1
Title=$p_\perp$ distribution for charged tracks
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-trk
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MC_SUSY/pt-trk
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	5.561787e+04	6.089218e+01	6.089218e+01
1.500000e+01	3.000000e+01	7.221300e+04	6.938444e+01	6.938444e+01
3.000000e+01	4.500000e+01	2.895413e+04	4.393490e+01	4.393490e+01
4.500000e+01	6.000000e+01	1.529847e+04	3.193584e+01	3.193584e+01
6.000000e+01	7.500000e+01	9.276867e+03	2.486881e+01	2.486881e+01
7.500000e+01	9.000000e+01	6.081867e+03	2.013598e+01	2.013598e+01
9.000000e+01	1.050000e+02	4.297400e+03	1.692611e+01	1.692611e+01
1.050000e+02	1.200000e+02	3.163400e+03	1.452217e+01	1.452217e+01
1.200000e+02	1.350000e+02	2.368733e+03	1.256645e+01	1.256645e+01
1.350000e+02	1.500000e+02	1.873333e+03	1.117537e+01	1.117537e+01
1.500000e+02	1.650000e+02	1.496067e+03	9.986880e+00	9.986880e+00
1.650000e+02	1.800000e+02	1.202600e+03	8.953956e+00	8.953956e+00
1.800000e+02	1.950000e+02	1.005200e+03	8.186167e+00	8.186167e+00
1.950000e+02	2.100000e+02	8.335333e+02	7.454454e+00	7.454454e+00
2.100000e+02	2.250000e+02	7.029333e+02	6.845599e+00	6.845599e+00
2.250000e+02	2.400000e+02	6.032667e+02	6.341749e+00	6.341749e+00
2.400000e+02	2.550000e+02	5.299333e+02	5.943811e+00	5.943811e+00
2.550000e+02	2.700000e+02	4.584667e+02	5.528512e+00	5.528512e+00
2.700000e+02	2.850000e+02	4.024667e+02	5.179876e+00	5.179876e+00
2.850000e+02	3.000000e+02	3.518667e+02	4.843323e+00	4.843323e+00
3.000000e+02	3.150000e+02	3.085333e+02	4.535294e+00	4.535294e+00
3.150000e+02	3.300000e+02	2.786667e+02	4.310195e+00	4.310195e+00
3.300000e+02	3.450000e+02	2.532000e+02	4.108528e+00	4.108528e+00
3.450000e+02	3.600000e+02	2.192000e+02	3.822739e+00	3.822739e+00
3.600000e+02	3.750000e+02	2.032667e+02	3.681183e+00	3.681183e+00
3.750000e+02	3.900000e+02	1.832000e+02	3.494758e+00	3.494758e+00
3.900000e+02	4.050000e+02	1.670667e+02	3.337331e+00	3.337331e+00
4.050000e+02	4.200000e+02	1.506000e+02	3.168596e+00	3.168596e+00
4.200000e+02	4.350000e+02	1.415333e+02	3.071735e+00	3.071735e+00
4.350000e+02	4.500000e+02	1.206000e+02	2.835489e+00	2.835489e+00
4.500000e+02	4.650000e+02	1.149333e+02	2.768072e+00	2.768072e+00
4.650000e+02	4.800000e+02	1.048667e+02	2.644071e+00	2.644071e+00
4.800000e+02	4.950000e+02	9.726667e+01	2.546457e+00	2.546457e+00
4.950000e+02	5.100000e+02	8.966667e+01	2.444949e+00	2.444949e+00
5.100000e+02	5.250000e+02	8.300000e+01	2.352304e+00	2.352304e+00
5.250000e+02	5.400000e+02	7.540000e+01	2.242023e+00	2.242023e+00
5.400000e+02	5.550000e+02	6.760000e+01	2.122891e+00	2.122891e+00
5.550000e+02	5.700000e+02	6.326667e+01	2.053723e+00	2.053723e+00
5.700000e+02	5.850000e+02	6.280000e+01	2.046135e+00	2.046135e+00
5.850000e+02	6.000000e+02	5.693333e+01	1.948219e+00	1.948219e+00
6.000000e+02	6.150000e+02	5.200000e+01	1.861899e+00	1.861899e+00
6.150000e+02	6.300000e+02	4.593333e+01	1.749921e+00	1.749921e+00
6.300000e+02	6.450000e+02	4.460000e+01	1.724336e+00	1.724336e+00
6.450000e+02	6.600000e+02	3.846667e+01	1.601388e+00	1.601388e+00
6.600000e+02	6.750000e+02	3.740000e+01	1.579029e+00	1.579029e+00
6.750000e+02	6.900000e+02	3.546667e+01	1.537675e+00	1.537675e+00
6.900000e+02	7.050000e+02	3.400000e+01	1.505545e+00	1.505545e+00
7.050000e+02	7.200000e+02	3.113333e+01	1.440679e+00	1.440679e+00
7.200000e+02	7.350000e+02	3.060000e+01	1.428286e+00	1.428286e+00
7.350000e+02	7.500000e+02	2.580000e+01	1.311488e+00	1.311488e+00
7.500000e+02	7.650000e+02	2.540000e+01	1.301281e+00	1.301281e+00
7.650000e+02	7.800000e+02	2.300000e+01	1.238278e+00	1.238278e+00
7.800000e+02	7.950000e+02	1.953333e+01	1.141150e+00	1.141150e+00
7.950000e+02	8.100000e+02	1.993333e+01	1.152774e+00	1.152774e+00
8.100000e+02	8.250000e+02	1.946667e+01	1.139200e+00	1.139200e+00
8.250000e+02	8.400000e+02	1.840000e+01	1.107550e+00	1.107550e+00
8.400000e+02	8.550000e+02	1.573333e+01	1.024153e+00	1.024153e+00
8.550000e+02	8.700000e+02	1.600000e+01	1.032796e+00	1.032796e+00
8.700000e+02	8.850000e+02	1.546667e+01	1.015436e+00	1.015436e+00
8.850000e+02	9.000000e+02	1.533333e+01	1.011050e+00	1.011050e+00
9.000000e+02	9.150000e+02	1.166667e+01	8.819171e-01	8.819171e-01
9.150000e+02	9.300000e+02	1.260000e+01	9.165151e-01	9.165151e-01
9.300000e+02	9.450000e+02	9.666667e+00	8.027730e-01	8.027730e-01
9.450000e+02	9.600000e+02	1.066667e+01	8.432740e-01	8.432740e-01
9.600000e+02	9.750000e+02	9.333333e+00	7.888106e-01	7.888106e-01
9.750000e+02	9.900000e+02	1.146667e+01	8.743251e-01	8.743251e-01
9.900000e+02	1.005000e+03	8.466667e+00	7.512952e-01	7.512952e-01
1.005000e+03	1.020000e+03	8.266667e+00	7.423686e-01	7.423686e-01
