# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks
XLabel=$N_b$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}N_b$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks
RatioPlot=1
Title=Multiplicity distribution for bottom quarks
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/BOTTOM_quarks
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	8.500000e+00	5.000000e-05	5.000000e-05	5.000000e-05
8.500000e+00	9.500000e+00	5.000000e-05	5.000000e-05	5.000000e-05
9.500000e+00	1.050000e+01	3.500000e-04	1.322876e-04	1.322876e-04
1.050000e+01	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	1.250000e+01	9.800000e-03	7.000000e-04	7.000000e-04
1.250000e+01	1.350000e+01	5.615000e-02	1.675560e-03	1.675560e-03
1.350000e+01	1.450000e+01	1.070000e-01	2.313007e-03	2.313007e-03
1.450000e+01	1.550000e+01	6.530000e-02	1.806931e-03	1.806931e-03
1.550000e+01	1.650000e+01	2.500000e-04	1.118034e-04	1.118034e-04
1.650000e+01	1.750000e+01	1.450000e-03	2.692582e-04	2.692582e-04
1.750000e+01	1.850000e+01	6.650000e-03	5.766281e-04	5.766281e-04
1.850000e+01	1.950000e+01	1.090000e-02	7.382412e-04	7.382412e-04
1.950000e+01	2.050000e+01	1.195000e-02	7.729812e-04	7.729812e-04
2.050000e+01	2.150000e+01	2.115000e-02	1.028348e-03	1.028348e-03
2.150000e+01	2.250000e+01	5.940000e-02	1.723369e-03	1.723369e-03
2.250000e+01	2.350000e+01	1.081000e-01	2.324866e-03	2.324866e-03
2.350000e+01	2.450000e+01	9.880000e-02	2.222611e-03	2.222611e-03
2.450000e+01	2.550000e+01	3.695000e-02	1.359228e-03	1.359228e-03
2.550000e+01	2.650000e+01	2.650000e-03	3.640055e-04	3.640055e-04
2.650000e+01	2.750000e+01	5.900000e-03	5.431390e-04	5.431390e-04
