# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/ELECTRONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/ELECTRONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/ELECTRONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/ELECTRONs
XLabel=$N_e$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/ELECTRONs
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}N_e$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/ELECTRONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/ELECTRONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/ELECTRONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/ELECTRONs
RatioPlot=1
Title=Multiplicity distribution for $e^+$, $e^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/ELECTRONs
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/ELECTRONs
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	3.000000e-04	1.224745e-04	1.224745e-04
1.500000e+00	2.500000e+00	3.500000e-04	1.322876e-04	1.322876e-04
2.500000e+00	3.500000e+00	1.900000e-03	3.082207e-04	3.082207e-04
3.500000e+00	4.500000e+00	3.900000e-03	4.415880e-04	4.415880e-04
4.500000e+00	5.500000e+00	7.150000e-03	5.979130e-04	5.979130e-04
5.500000e+00	6.500000e+00	1.385000e-02	8.321658e-04	8.321658e-04
6.500000e+00	7.500000e+00	2.050000e-02	1.012423e-03	1.012423e-03
7.500000e+00	8.500000e+00	3.270000e-02	1.278671e-03	1.278671e-03
8.500000e+00	9.500000e+00	4.695000e-02	1.532155e-03	1.532155e-03
9.500000e+00	1.050000e+01	5.690000e-02	1.686713e-03	1.686713e-03
1.050000e+01	1.150000e+01	6.775000e-02	1.840516e-03	1.840516e-03
1.150000e+01	1.250000e+01	7.305000e-02	1.911151e-03	1.911151e-03
1.250000e+01	1.350000e+01	7.880000e-02	1.984943e-03	1.984943e-03
1.350000e+01	1.450000e+01	8.525000e-02	2.064582e-03	2.064582e-03
1.450000e+01	1.550000e+01	8.315000e-02	2.038995e-03	2.038995e-03
1.550000e+01	1.650000e+01	7.610000e-02	1.950641e-03	1.950641e-03
1.650000e+01	1.750000e+01	6.910000e-02	1.858763e-03	1.858763e-03
1.750000e+01	1.850000e+01	5.905000e-02	1.718284e-03	1.718284e-03
1.850000e+01	1.950000e+01	5.310000e-02	1.629417e-03	1.629417e-03
1.950000e+01	2.050000e+01	4.210000e-02	1.450862e-03	1.450862e-03
2.050000e+01	2.150000e+01	3.495000e-02	1.321930e-03	1.321930e-03
2.150000e+01	2.250000e+01	2.540000e-02	1.126943e-03	1.126943e-03
2.250000e+01	2.350000e+01	2.030000e-02	1.007472e-03	1.007472e-03
2.350000e+01	2.450000e+01	1.530000e-02	8.746428e-04	8.746428e-04
2.450000e+01	2.550000e+01	9.550000e-03	6.910137e-04	6.910137e-04
2.550000e+01	2.650000e+01	7.350000e-03	6.062178e-04	6.062178e-04
2.650000e+01	2.750000e+01	5.800000e-03	5.385165e-04	5.385165e-04
2.750000e+01	2.850000e+01	3.400000e-03	4.123106e-04	4.123106e-04
2.850000e+01	2.950000e+01	2.450000e-03	3.500000e-04	3.500000e-04
2.950000e+01	3.050000e+01	1.350000e-03	2.598076e-04	2.598076e-04
3.050000e+01	3.150000e+01	1.150000e-03	2.397916e-04	2.397916e-04
3.150000e+01	3.250000e+01	4.500000e-04	1.500000e-04	1.500000e-04
3.250000e+01	3.350000e+01	1.500000e-04	8.660254e-05	8.660254e-05
3.350000e+01	3.450000e+01	1.500000e-04	8.660254e-05	8.660254e-05
3.450000e+01	3.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.550000e+01	3.650000e+01	1.500000e-04	8.660254e-05	8.660254e-05
3.650000e+01	3.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.750000e+01	3.850000e+01	1.000000e-04	7.071068e-05	7.071068e-05
3.850000e+01	3.950000e+01	5.000000e-05	5.000000e-05	5.000000e-05
3.950000e+01	4.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.050000e+01	4.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.150000e+01	4.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.250000e+01	4.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.350000e+01	4.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.450000e+01	4.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+01	4.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.650000e+01	4.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.750000e+01	4.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.850000e+01	4.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

