# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/HT_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/HT_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/HT_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/HT_jets
XLabel=$H_T$ [GeV]
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/HT_jets
YLabel=$N$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/HT_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/HT_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/HT_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/HT_jets
RatioPlot=1
Title=$H_T$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/HT_jets
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/HT_jets
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	7.995100e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.995100e+02	1.599520e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.599520e+03	2.399530e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.399530e+03	3.199540e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.199540e+03	3.999550e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.999550e+03	4.799560e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.799560e+03	5.599570e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.599570e+03	6.399580e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.399580e+03	7.199590e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.199590e+03	7.999600e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.999600e+03	8.799610e+03	6.249922e-07	1.976399e-07	1.976399e-07
8.799610e+03	9.599620e+03	3.062462e-06	4.374945e-07	4.374945e-07
9.599620e+03	1.039963e+04	1.187485e-05	8.614923e-07	8.614923e-07
1.039963e+04	1.119964e+04	4.668692e-05	1.708185e-06	1.708185e-06
1.119964e+04	1.199965e+04	1.149986e-04	2.680918e-06	2.680918e-06
1.199965e+04	1.279966e+04	2.041849e-04	3.572310e-06	3.572310e-06
1.279966e+04	1.359967e+04	2.576843e-04	4.013112e-06	4.013112e-06
1.359967e+04	1.439968e+04	2.398095e-04	3.871422e-06	3.871422e-06
1.439968e+04	1.519969e+04	1.678729e-04	3.239124e-06	3.239124e-06
1.519969e+04	1.599970e+04	1.035612e-04	2.544110e-06	2.544110e-06
1.599970e+04	1.679971e+04	4.962438e-05	1.761103e-06	1.761103e-06
1.679971e+04	1.759972e+04	2.724966e-05	1.305022e-06	1.305022e-06
1.759972e+04	1.839973e+04	1.293734e-05	8.992072e-07	8.992072e-07
1.839973e+04	1.919974e+04	5.124936e-06	5.659545e-07	5.659545e-07
1.919974e+04	1.999975e+04	3.124961e-06	4.419362e-07	4.419362e-07
1.999975e+04	2.079976e+04	1.124986e-06	2.651617e-07	2.651617e-07
2.079976e+04	2.159977e+04	1.874977e-07	1.082518e-07	1.082518e-07
2.159977e+04	2.239978e+04	1.874977e-07	1.082518e-07	1.082518e-07
2.239978e+04	2.319979e+04	6.249922e-08	6.249922e-08	6.249922e-08
2.319979e+04	2.399980e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.399980e+04	2.479981e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.479981e+04	2.559982e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.559982e+04	2.639983e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.639983e+04	2.719984e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.719984e+04	2.799985e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.799985e+04	2.879986e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.879986e+04	2.959987e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.959987e+04	3.039988e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.039988e+04	3.119989e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.119989e+04	3.199990e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.199990e+04	3.279991e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.279991e+04	3.359992e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.359992e+04	3.439993e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.439993e+04	3.519994e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.519994e+04	3.599995e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.599995e+04	3.679996e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.679996e+04	3.759997e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.759997e+04	3.839998e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.839998e+04	3.919999e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.919999e+04	4.000000e+04	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/HT_jets
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/HT_jets
ScaledBy=5.00000000000000024e-05
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	7.995100e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.995100e+02	1.599520e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.599520e+03	2.399530e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.399530e+03	3.199540e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.199540e+03	3.999550e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.999550e+03	4.799560e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.799560e+03	5.599570e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.599570e+03	6.399580e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.399580e+03	7.199590e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.199590e+03	7.999600e+03	1.249984e-07	8.838724e-08	8.838724e-08
7.999600e+03	8.799610e+03	2.499969e-07	1.249984e-07	1.249984e-07
8.799610e+03	9.599620e+03	3.437457e-06	4.635066e-07	4.635066e-07
9.599620e+03	1.039963e+04	1.449982e-05	9.519597e-07	9.519597e-07
1.039963e+04	1.119964e+04	4.806190e-05	1.733156e-06	1.733156e-06
1.119964e+04	1.199965e+04	1.229360e-04	2.771895e-06	2.771895e-06
1.199965e+04	1.279966e+04	2.083724e-04	3.608755e-06	3.608755e-06
1.279966e+04	1.359967e+04	2.608092e-04	4.037372e-06	4.037372e-06
1.359967e+04	1.439968e+04	2.432470e-04	3.899070e-06	3.899070e-06
1.439968e+04	1.519969e+04	1.669354e-04	3.230067e-06	3.230067e-06
1.519969e+04	1.599970e+04	9.549881e-05	2.443072e-06	2.443072e-06
1.599970e+04	1.679971e+04	4.718691e-05	1.717307e-06	1.717307e-06
1.679971e+04	1.759972e+04	2.143723e-05	1.157502e-06	1.157502e-06
1.759972e+04	1.839973e+04	9.374883e-06	7.654560e-07	7.654560e-07
1.839973e+04	1.919974e+04	4.874939e-06	5.519782e-07	5.519782e-07
1.919974e+04	1.999975e+04	1.874977e-06	3.423223e-07	3.423223e-07
1.999975e+04	2.079976e+04	5.624930e-07	1.874977e-07	1.874977e-07
2.079976e+04	2.159977e+04	3.749953e-07	1.530912e-07	1.530912e-07
2.159977e+04	2.239978e+04	6.249922e-08	6.249922e-08	6.249922e-08
2.239978e+04	2.319979e+04	6.249922e-08	6.249922e-08	6.249922e-08
2.319979e+04	2.399980e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.399980e+04	2.479981e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.479981e+04	2.559982e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.559982e+04	2.639983e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.639983e+04	2.719984e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.719984e+04	2.799985e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.799985e+04	2.879986e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.879986e+04	2.959987e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.959987e+04	3.039988e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.039988e+04	3.119989e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.119989e+04	3.199990e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.199990e+04	3.279991e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.279991e+04	3.359992e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.359992e+04	3.439993e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.439993e+04	3.519994e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.519994e+04	3.599995e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.599995e+04	3.679996e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.679996e+04	3.759997e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.759997e+04	3.839998e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.839998e+04	3.919999e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.919999e+04	4.000000e+04	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/HT_jets
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/HT_jets
ScaledBy=5.00000000000000024e-05
Title=mmht2014
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	7.995100e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.995100e+02	1.599520e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.599520e+03	2.399530e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.399530e+03	3.199540e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.199540e+03	3.999550e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.999550e+03	4.799560e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.799560e+03	5.599570e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.599570e+03	6.399580e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.399580e+03	7.199590e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.199590e+03	7.999600e+03	1.249984e-07	8.838724e-08	8.838724e-08
7.999600e+03	8.799610e+03	1.249984e-07	8.838724e-08	8.838724e-08
8.799610e+03	9.599620e+03	2.874964e-06	4.238903e-07	4.238903e-07
9.599620e+03	1.039963e+04	1.437482e-05	9.478476e-07	9.478476e-07
1.039963e+04	1.119964e+04	4.899939e-05	1.749978e-06	1.749978e-06
1.119964e+04	1.199965e+04	1.223735e-04	2.765546e-06	2.765546e-06
1.199965e+04	1.279966e+04	2.129348e-04	3.648049e-06	3.648049e-06
1.279966e+04	1.359967e+04	2.640592e-04	4.062449e-06	4.062449e-06
1.359967e+04	1.439968e+04	2.445594e-04	3.909575e-06	3.909575e-06
1.439968e+04	1.519969e+04	1.599355e-04	3.161620e-06	3.161620e-06
1.519969e+04	1.599970e+04	9.581130e-05	2.447066e-06	2.447066e-06
1.599970e+04	1.679971e+04	4.831190e-05	1.737658e-06	1.737658e-06
1.679971e+04	1.759972e+04	2.012475e-05	1.121508e-06	1.121508e-06
1.759972e+04	1.839973e+04	8.937388e-06	7.473820e-07	7.473820e-07
1.839973e+04	1.919974e+04	3.499956e-06	4.677013e-07	4.677013e-07
1.919974e+04	1.999975e+04	1.937476e-06	3.479809e-07	3.479809e-07
1.999975e+04	2.079976e+04	8.124898e-07	2.253441e-07	2.253441e-07
2.079976e+04	2.159977e+04	1.249984e-07	8.838724e-08	8.838724e-08
2.159977e+04	2.239978e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.239978e+04	2.319979e+04	6.249922e-08	6.249922e-08	6.249922e-08
2.319979e+04	2.399980e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.399980e+04	2.479981e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.479981e+04	2.559982e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.559982e+04	2.639983e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.639983e+04	2.719984e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.719984e+04	2.799985e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.799985e+04	2.879986e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.879986e+04	2.959987e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.959987e+04	3.039988e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.039988e+04	3.119989e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.119989e+04	3.199990e+04	0.000000e+00	0.000000e+00	0.000000e+00
