# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/LEPTONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/LEPTONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/LEPTONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/LEPTONs
XLabel=$N_{lept}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/LEPTONs
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}N_{lept}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/LEPTONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/LEPTONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/LEPTONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/LEPTONs
RatioPlot=1
Title=Multiplicity distribution for leptons
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/LEPTONs
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/LEPTONs
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	5.500000e+00	1.500000e-04	8.660254e-05	8.660254e-05
5.500000e+00	6.500000e+00	1.000000e-04	7.071068e-05	7.071068e-05
6.500000e+00	7.500000e+00	5.000000e-04	1.581139e-04	1.581139e-04
7.500000e+00	8.500000e+00	1.300000e-03	2.549510e-04	2.549510e-04
8.500000e+00	9.500000e+00	2.600000e-03	3.605551e-04	3.605551e-04
9.500000e+00	1.050000e+01	4.850000e-03	4.924429e-04	4.924429e-04
1.050000e+01	1.150000e+01	7.600000e-03	6.164414e-04	6.164414e-04
1.150000e+01	1.250000e+01	1.400000e-02	8.366600e-04	8.366600e-04
1.250000e+01	1.350000e+01	1.975000e-02	9.937303e-04	9.937303e-04
1.350000e+01	1.450000e+01	2.840000e-02	1.191638e-03	1.191638e-03
1.450000e+01	1.550000e+01	3.530000e-02	1.328533e-03	1.328533e-03
1.550000e+01	1.650000e+01	4.945000e-02	1.572419e-03	1.572419e-03
1.650000e+01	1.750000e+01	5.600000e-02	1.673320e-03	1.673320e-03
1.750000e+01	1.850000e+01	6.155000e-02	1.754280e-03	1.754280e-03
1.850000e+01	1.950000e+01	6.795000e-02	1.843231e-03	1.843231e-03
1.950000e+01	2.050000e+01	7.365000e-02	1.918984e-03	1.918984e-03
2.050000e+01	2.150000e+01	7.360000e-02	1.918333e-03	1.918333e-03
2.150000e+01	2.250000e+01	7.400000e-02	1.923538e-03	1.923538e-03
2.250000e+01	2.350000e+01	6.910000e-02	1.858763e-03	1.858763e-03
2.350000e+01	2.450000e+01	6.815000e-02	1.845941e-03	1.845941e-03
2.450000e+01	2.550000e+01	5.700000e-02	1.688194e-03	1.688194e-03
2.550000e+01	2.650000e+01	5.085000e-02	1.594522e-03	1.594522e-03
