# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/MUONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/MUONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/MUONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/MUONs
XLabel=$N_\mu$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/MUONs
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}N_\mu$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/MUONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/MUONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/MUONs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/MUONs
RatioPlot=1
Title=Multiplicity distribution for $\mu^+$, $\mu^-$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/MUONs
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/MUONs
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.900000e-03	3.082207e-04	3.082207e-04
5.000000e-01	1.500000e+00	9.200000e-03	6.782330e-04	6.782330e-04
1.500000e+00	2.500000e+00	2.690000e-02	1.159741e-03	1.159741e-03
2.500000e+00	3.500000e+00	5.950000e-02	1.724819e-03	1.724819e-03
3.500000e+00	4.500000e+00	9.545000e-02	2.184605e-03	2.184605e-03
4.500000e+00	5.500000e+00	1.305500e-01	2.554897e-03	2.554897e-03
5.500000e+00	6.500000e+00	1.435000e-01	2.678619e-03	2.678619e-03
6.500000e+00	7.500000e+00	1.471500e-01	2.712471e-03	2.712471e-03
7.500000e+00	8.500000e+00	1.269000e-01	2.518928e-03	2.518928e-03
8.500000e+00	9.500000e+00	1.008500e-01	2.245551e-03	2.245551e-03
9.500000e+00	1.050000e+01	6.600000e-02	1.816590e-03	1.816590e-03
1.050000e+01	1.150000e+01	4.235000e-02	1.455163e-03	1.455163e-03
1.150000e+01	1.250000e+01	2.470000e-02	1.111306e-03	1.111306e-03
1.250000e+01	1.350000e+01	1.415000e-02	8.411302e-04	8.411302e-04
1.350000e+01	1.450000e+01	5.900000e-03	5.431390e-04	5.431390e-04
1.450000e+01	1.550000e+01	2.950000e-03	3.840573e-04	3.840573e-04
1.550000e+01	1.650000e+01	1.300000e-03	2.549510e-04	2.549510e-04
1.650000e+01	1.750000e+01	4.500000e-04	1.500000e-04	1.500000e-04
1.750000e+01	1.850000e+01	3.000000e-04	1.224745e-04	1.224745e-04
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.950000e+01	2.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.050000e+01	2.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.150000e+01	2.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.250000e+01	2.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.350000e+01	2.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.450000e+01	2.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.550000e+01	2.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
