# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/M_eff_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/M_eff_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/M_eff_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/M_eff_jets
XLabel=$H_T$ [GeV]
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/M_eff_jets
YLabel=$N$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/M_eff_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/M_eff_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/M_eff_jets //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/M_eff_jets
RatioPlot=1
Title=$M_{eff}$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/M_eff_jets
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/M_eff_jets
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	7.995100e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.995100e+02	1.599520e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.599520e+03	2.399530e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.399530e+03	3.199540e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.199540e+03	3.999550e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.999550e+03	4.799560e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.799560e+03	5.599570e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.599570e+03	6.399580e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.399580e+03	7.199590e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.199590e+03	7.999600e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.999600e+03	8.799610e+03	6.249922e-08	6.249922e-08	6.249922e-08
8.799610e+03	9.599620e+03	7.499906e-07	2.165036e-07	2.165036e-07
9.599620e+03	1.039963e+04	1.812477e-06	3.365686e-07	3.365686e-07
1.039963e+04	1.119964e+04	1.037487e-05	8.052461e-07	8.052461e-07
1.119964e+04	1.199965e+04	3.918701e-05	1.564978e-06	1.564978e-06
1.199965e+04	1.279966e+04	9.837377e-05	2.479573e-06	2.479573e-06
1.279966e+04	1.359967e+04	1.871227e-04	3.419798e-06	3.419798e-06
1.359967e+04	1.439968e+04	2.538093e-04	3.982824e-06	3.982824e-06
1.439968e+04	1.519969e+04	2.478719e-04	3.935962e-06	3.935962e-06
1.519969e+04	1.599970e+04	1.839977e-04	3.391123e-06	3.391123e-06
1.599970e+04	1.679971e+04	1.064362e-04	2.579182e-06	2.579182e-06
1.679971e+04	1.759972e+04	5.918676e-05	1.923311e-06	1.923311e-06
1.759972e+04	1.839973e+04	3.112461e-05	1.394727e-06	1.394727e-06
1.839973e+04	1.919974e+04	1.624980e-05	1.007770e-06	1.007770e-06
1.919974e+04	1.999975e+04	7.812402e-06	6.987625e-07	6.987625e-07
1.999975e+04	2.079976e+04	2.812465e-06	4.192575e-07	4.192575e-07
2.079976e+04	2.159977e+04	1.749978e-06	3.307148e-07	3.307148e-07
2.159977e+04	2.239978e+04	9.374883e-07	2.420584e-07	2.420584e-07
2.239978e+04	2.319979e+04	1.874977e-07	1.082518e-07	1.082518e-07
2.319979e+04	2.399980e+04	1.249984e-07	8.838724e-08	8.838724e-08
2.399980e+04	2.479981e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.479981e+04	2.559982e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.559982e+04	2.639983e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.639983e+04	2.719984e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.719984e+04	2.799985e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.799985e+04	2.879986e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.879986e+04	2.959987e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.959987e+04	3.039988e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.039988e+04	3.119989e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.119989e+04	3.199990e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.199990e+04	3.279991e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.279991e+04	3.359992e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.359992e+04	3.439993e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.439993e+04	3.519994e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.519994e+04	3.599995e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.599995e+04	3.679996e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.679996e+04	3.759997e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.759997e+04	3.839998e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.839998e+04	3.919999e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.919999e+04	4.000000e+04	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/M_eff_jets
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/M_eff_jets
ScaledBy=5.00000000000000024e-05
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	7.995100e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.995100e+02	1.599520e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.599520e+03	2.399530e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.399530e+03	3.199540e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.199540e+03	3.999550e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.999550e+03	4.799560e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.799560e+03	5.599570e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.599570e+03	6.399580e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.399580e+03	7.199590e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.199590e+03	7.999600e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.999600e+03	8.799610e+03	0.000000e+00	0.000000e+00	0.000000e+00
8.799610e+03	9.599620e+03	3.749953e-07	1.530912e-07	1.530912e-07
9.599620e+03	1.039963e+04	2.687466e-06	4.098348e-07	4.098348e-07
1.039963e+04	1.119964e+04	1.249984e-05	8.838724e-07	8.838724e-07
1.119964e+04	1.199965e+04	4.106199e-05	1.601981e-06	1.601981e-06
1.199965e+04	1.279966e+04	1.051237e-04	2.563230e-06	2.563230e-06
1.279966e+04	1.359967e+04	1.954976e-04	3.495489e-06	3.495489e-06
1.359967e+04	1.439968e+04	2.618717e-04	4.045588e-06	4.045588e-06
1.439968e+04	1.519969e+04	2.434345e-04	3.900572e-06	3.900572e-06
1.519969e+04	1.599970e+04	1.828102e-04	3.380162e-06	3.380162e-06
1.599970e+04	1.679971e+04	1.056237e-04	2.569318e-06	2.569318e-06
1.679971e+04	1.759972e+04	5.168685e-05	1.797328e-06	1.797328e-06
1.759972e+04	1.839973e+04	2.456219e-05	1.238999e-06	1.238999e-06
1.839973e+04	1.919974e+04	1.306234e-05	9.035407e-07	9.035407e-07
1.919974e+04	1.999975e+04	5.812427e-06	6.027206e-07	6.027206e-07
1.999975e+04	2.079976e+04	2.312471e-06	3.801679e-07	3.801679e-07
2.079976e+04	2.159977e+04	9.999875e-07	2.499969e-07	2.499969e-07
2.159977e+04	2.239978e+04	3.749953e-07	1.530912e-07	1.530912e-07
2.239978e+04	2.319979e+04	1.249984e-07	8.838724e-08	8.838724e-08
2.319979e+04	2.399980e+04	6.249922e-08	6.249922e-08	6.249922e-08
2.399980e+04	2.479981e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.479981e+04	2.559982e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.559982e+04	2.639983e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.639983e+04	2.719984e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.719984e+04	2.799985e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.799985e+04	2.879986e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.879986e+04	2.959987e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.959987e+04	3.039988e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.039988e+04	3.119989e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.119989e+04	3.199990e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.199990e+04	3.279991e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.279991e+04	3.359992e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.359992e+04	3.439993e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.439993e+04	3.519994e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.519994e+04	3.599995e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.599995e+04	3.679996e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.679996e+04	3.759997e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.759997e+04	3.839998e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.839998e+04	3.919999e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.919999e+04	4.000000e+04	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/M_eff_jets
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/M_eff_jets
ScaledBy=5.00000000000000024e-05
Title=mmht2014
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	7.995100e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.995100e+02	1.599520e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.599520e+03	2.399530e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.399530e+03	3.199540e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.199540e+03	3.999550e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.999550e+03	4.799560e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.799560e+03	5.599570e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.599570e+03	6.399580e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.399580e+03	7.199590e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.199590e+03	7.999600e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.999600e+03	8.799610e+03	1.249984e-07	8.838724e-08	8.838724e-08
8.799610e+03	9.599620e+03	1.874977e-07	1.082518e-07	1.082518e-07
9.599620e+03	1.039963e+04	2.999963e-06	4.330073e-07	4.330073e-07
1.039963e+04	1.119964e+04	1.243734e-05	8.816600e-07	8.816600e-07
1.119964e+04	1.199965e+04	4.162448e-05	1.612916e-06	1.612916e-06
1.199965e+04	1.279966e+04	1.043112e-04	2.553305e-06	2.553305e-06
1.279966e+04	1.359967e+04	2.006225e-04	3.541010e-06	3.541010e-06
1.359967e+04	1.439968e+04	2.555593e-04	3.996531e-06	3.996531e-06
1.439968e+04	1.519969e+04	2.530593e-04	3.976935e-06	3.976935e-06
1.519969e+04	1.599970e+04	1.759353e-04	3.315994e-06	3.315994e-06
1.599970e+04	1.679971e+04	1.027487e-04	2.534110e-06	2.534110e-06
1.679971e+04	1.759972e+04	5.437432e-05	1.843462e-06	1.843462e-06
1.759972e+04	1.839973e+04	2.493719e-05	1.248421e-06	1.248421e-06
1.839973e+04	1.919974e+04	1.231235e-05	8.772183e-07	8.772183e-07
1.919974e+04	1.999975e+04	4.874939e-06	5.519782e-07	5.519782e-07
1.999975e+04	2.079976e+04	2.249972e-06	3.749953e-07	3.749953e-07
2.079976e+04	2.159977e+04	9.374883e-07	2.420584e-07	2.420584e-07
2.159977e+04	2.239978e+04	6.249922e-07	1.976399e-07	1.976399e-07
2.239978e+04	2.319979e+04	6.249922e-08	6.249922e-08	6.249922e-08
2.319979e+04	2.399980e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.399980e+04	2.479981e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.479981e+04	2.559982e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.559982e+04	2.639983e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.639983e+04	2.719984e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.719984e+04	2.799985e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.799985e+04	2.879986e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.879986e+04	2.959987e+04	0.000000e+00	0.000000e+00	0.000000e+00
2.959987e+04	3.039988e+04	0.000000e+00	0.000000e+00	0.000000e+00
3.039988e+04	3.119989e+04	0.000000e+00	0.000000e+00	0.000000e+00
