# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs
XLabel=$N_{neutr}$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}N_{neutr}$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs
RatioPlot=1
Title=Multiplicity distribution for neutrinos
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/NEUTRINOs
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+00	7.500000e+00	2.000000e-04	1.000000e-04	1.000000e-04
7.500000e+00	8.500000e+00	2.500000e-04	1.118034e-04	1.118034e-04
8.500000e+00	9.500000e+00	1.250000e-03	2.500000e-04	2.500000e-04
9.500000e+00	1.050000e+01	1.900000e-03	3.082207e-04	3.082207e-04
1.050000e+01	1.150000e+01	3.800000e-03	4.358899e-04	4.358899e-04
1.150000e+01	1.250000e+01	7.300000e-03	6.041523e-04	6.041523e-04
1.250000e+01	1.350000e+01	1.240000e-02	7.874008e-04	7.874008e-04
1.350000e+01	1.450000e+01	1.840000e-02	9.591663e-04	9.591663e-04
1.450000e+01	1.550000e+01	2.450000e-02	1.106797e-03	1.106797e-03
1.550000e+01	1.650000e+01	3.075000e-02	1.239960e-03	1.239960e-03
1.650000e+01	1.750000e+01	4.185000e-02	1.446548e-03	1.446548e-03
1.750000e+01	1.850000e+01	5.165000e-02	1.607016e-03	1.607016e-03
1.850000e+01	1.950000e+01	6.275000e-02	1.771299e-03	1.771299e-03
1.950000e+01	2.050000e+01	6.770000e-02	1.839837e-03	1.839837e-03
2.050000e+01	2.150000e+01	7.400000e-02	1.923538e-03	1.923538e-03
2.150000e+01	2.250000e+01	7.415000e-02	1.925487e-03	1.925487e-03
2.250000e+01	2.350000e+01	7.435000e-02	1.928082e-03	1.928082e-03
2.350000e+01	2.450000e+01	7.485000e-02	1.934554e-03	1.934554e-03
2.450000e+01	2.550000e+01	6.685000e-02	1.828251e-03	1.828251e-03
2.550000e+01	2.650000e+01	6.105000e-02	1.747141e-03	1.747141e-03
2.650000e+01	2.750000e+01	5.445000e-02	1.650000e-03	1.650000e-03
