# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/met_incl
XLabel=Vector missing $E_T$ [GeV]
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/met_incl
YLabel=$\sigma$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/met_incl //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/met_incl
RatioPlot=1
Title=Vector missing $E_T$
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/met_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/met_incl
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.359356e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.359356e+00	1.847850e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.847850e+00	2.511886e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+00	3.414549e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.414549e+00	4.641589e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.641589e+00	6.309573e+00	5.995261e-01	5.995261e-01	5.995261e-01
6.309573e+00	8.576959e+00	4.410365e-01	4.410365e-01	4.410365e-01
8.576959e+00	1.165914e+01	6.488912e-01	4.588353e-01	4.588353e-01
1.165914e+01	1.584893e+01	7.160263e-01	4.133980e-01	4.133980e-01
1.584893e+01	2.154435e+01	7.023187e-01	3.511594e-01	3.511594e-01
2.154435e+01	2.928645e+01	7.749835e-01	3.163857e-01	3.163857e-01
2.928645e+01	3.981072e+01	1.805351e+00	4.141759e-01	4.141759e-01
3.981072e+01	5.411695e+01	1.887290e+00	3.632091e-01	3.632091e-01
5.411695e+01	7.356423e+01	2.108264e+00	3.292555e-01	3.292555e-01
7.356423e+01	1.000000e+02	3.404478e+00	3.588635e-01	3.588635e-01
1.000000e+02	1.359356e+02	4.313272e+00	3.464503e-01	3.464503e-01
1.359356e+02	1.847850e+02	6.161795e+00	3.551600e-01	3.551600e-01
1.847850e+02	2.511886e+02	8.598931e+00	3.598541e-01	3.598541e-01
2.511886e+02	3.414549e+02	1.066843e+01	3.437855e-01	3.437855e-01
3.414549e+02	4.641589e+02	1.276242e+01	3.225055e-01	3.225055e-01
4.641589e+02	6.309573e+02	1.483228e+01	2.982002e-01	2.982002e-01
6.309573e+02	8.576959e+02	1.546274e+01	2.611443e-01	2.611443e-01
8.576959e+02	1.165914e+03	1.332822e+01	2.079491e-01	2.079491e-01
1.165914e+03	1.584893e+03	8.685400e+00	1.439789e-01	1.439789e-01
1.584893e+03	2.154435e+03	3.460675e+00	7.795026e-02	7.795026e-02
2.154435e+03	2.928645e+03	6.445280e-01	2.885303e-02	2.885303e-02
2.928645e+03	3.981072e+03	5.035979e-02	6.917449e-03	6.917449e-03
3.981072e+03	5.411695e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.411695e+03	7.356423e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.356423e+03	1.000000e+04	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/met_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/met_incl
Title=ct14nlo
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.359356e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.359356e+00	1.847850e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.847850e+00	2.511886e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+00	3.414549e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.414549e+00	4.641589e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.641589e+00	6.309573e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e+00	8.576959e+00	8.820730e-01	6.237198e-01	6.237198e-01
8.576959e+00	1.165914e+01	3.244456e-01	3.244456e-01	3.244456e-01
1.165914e+01	1.584893e+01	2.386754e-01	2.386754e-01	2.386754e-01
1.584893e+01	2.154435e+01	1.053478e+00	4.300806e-01	4.300806e-01
2.154435e+01	2.928645e+01	6.458196e-01	2.888193e-01	2.888193e-01
2.928645e+01	3.981072e+01	1.140222e+00	3.291536e-01	3.291536e-01
3.981072e+01	5.411695e+01	1.747490e+00	3.494981e-01	3.494981e-01
5.411695e+01	7.356423e+01	2.571054e+00	3.636019e-01	3.636019e-01
7.356423e+01	1.000000e+02	3.442306e+00	3.608517e-01	3.608517e-01
1.000000e+02	1.359356e+02	4.452409e+00	3.519939e-01	3.519939e-01
1.359356e+02	1.847850e+02	5.834258e+00	3.455916e-01	3.455916e-01
1.847850e+02	2.511886e+02	7.710425e+00	3.407559e-01	3.407559e-01
2.511886e+02	3.414549e+02	1.103402e+01	3.496262e-01	3.496262e-01
3.414549e+02	4.641589e+02	1.352034e+01	3.319437e-01	3.319437e-01
4.641589e+02	6.309573e+02	1.539583e+01	3.038125e-01	3.038125e-01
6.309573e+02	8.576959e+02	1.585526e+01	2.644381e-01	2.644381e-01
8.576959e+02	1.165914e+03	1.340934e+01	2.085809e-01	2.085809e-01
1.165914e+03	1.584893e+03	8.341707e+00	1.411014e-01	1.411014e-01
1.584893e+03	2.154435e+03	3.235933e+00	7.537666e-02	7.537666e-02
2.154435e+03	2.928645e+03	6.664858e-01	2.934040e-02	2.934040e-02
2.928645e+03	3.981072e+03	4.180813e-02	6.302812e-03	6.302812e-03
3.981072e+03	5.411695e+03	6.989962e-04	6.989962e-04	6.989962e-04
5.411695e+03	7.356423e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.356423e+03	1.000000e+04	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/met_incl
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/met_incl
Title=mmht2014
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
