# BEGIN PLOT
RatioPlotYLabel=Ratio
LegendOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/n-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/n-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/n-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/n-jet
XLabel=$N_j$
RatioPlotReference=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/n-jet
YLabel=$\mathrm{d}N_\text{evt}/\mathrm{d}N_j$
DrawOnly=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/n-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_ct14nlo.yoda/MY_ANALYSIS_NUMBER/n-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_mmht2014.yoda/MY_ANALYSIS_NUMBER/n-jet //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_nnpdf30.yoda/MY_ANALYSIS_NUMBER/n-jet
RatioPlot=1
Title=Multiplicity distribution for jets
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/n-jet
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dsatco/herbvi6500/yoda_files/40TeV_iproc7099_20t_ev.yoda/MY_ANALYSIS_NUMBER/n-jet
ScaledBy=5.00000000000000024e-05
Title=mstw1998
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	1.010000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.010000e+00	2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.520000e+00	4.030000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.030000e+00	5.540000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.540000e+00	7.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.050000e+00	8.560000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.560000e+00	1.007000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.007000e+01	1.158000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.158000e+01	1.309000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.309000e+01	1.460000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.460000e+01	1.611000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.611000e+01	1.762000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.762000e+01	1.913000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.913000e+01	2.064000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.064000e+01	2.215000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.215000e+01	2.366000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.366000e+01	2.517000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.517000e+01	2.668000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.668000e+01	2.819000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.819000e+01	2.970000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.970000e+01	3.121000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.121000e+01	3.272000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.272000e+01	3.423000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.423000e+01	3.574000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.574000e+01	3.725000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.725000e+01	3.876000e+01	0.000000e+00	0.000000e+00	0.000000e+00
